pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,gt_in_coarse,gt_coarse_dist,gt_in_refined,gt_refined_dist,gt_rank_before,gt_rank_after,primary_cat,pred_score,runtime_ms
pair_029,Set A,gen_029,1,1,510.0,535.0,510.3,534.7,0.42,10.895,10.75,0.14,4.519,4.0,0.52,True,1.0,True,0.71,2,1,PASS,0.9931,500.13
pair_030,Set A,gen_030,1,1,492.0,349.0,491.2,348.54,0.92,10.402,10.25,0.15,-4.182,-4.0,0.18,True,1.0,True,0.0,2,1,PASS,0.9978,533.12
pair_031,Set A,gen_031,1,1,521.0,537.0,520.99,537.8,0.8,9.782,10.0,0.22,0.506,1.0,0.49,True,0.0,True,0.0,1,1,PASS,0.9984,582.96
pair_032,Set A,gen_032,1,1,471.0,318.0,471.25,317.7,0.39,8.236,8.25,0.01,3.636,3.5,0.14,True,1.0,True,0.0,18,1,PASS,0.9902,567.95
pair_033,Set A,gen_033,1,1,467.0,481.0,466.2,480.7,0.85,8.364,8.25,0.11,-1.137,-1.5,0.36,True,0.0,True,0.0,13,1,PASS,0.9973,549.67
pair_034,Set A,gen_034,1,1,473.0,335.0,472.7,333.7,1.33,11.1,11.25,0.15,-3.576,-3.5,0.08,True,0.0,True,0.0,43,1,PASS,0.9987,449.93
pair_035,Set A,gen_035,1,1,532.0,509.0,532.61,508.8,0.64,9.174,9.25,0.08,-1.932,-2.5,0.57,True,1.0,True,0.0,26,1,PASS,0.9985,566.5
pair_036,Set A,gen_036,1,1,495.0,303.0,494.2,303.8,1.13,10.213,10.25,0.04,3.337,3.5,0.16,True,0.0,True,0.0,1,1,PASS,0.999,568.19
pair_037,Set A,gen_037,1,1,507.0,471.0,508.3,472.3,1.84,11.979,12.0,0.02,4.163,4.0,0.16,True,0.0,True,0.71,1,1,PASS,0.9986,466.31
pair_038,Set A,gen_038,1,1,462.0,330.0,462.3,331.3,1.33,11.59,11.75,0.16,4.42,4.0,0.42,True,1.41,True,0.71,1,1,PASS,0.9984,523.79
pair_039,Set A,gen_039,1,1,482.0,475.0,483.3,473.7,1.84,11.908,12.0,0.09,1.761,1.5,0.26,True,1.0,True,0.71,1,1,PASS,0.996,478.94
pair_040,Set A,gen_040,1,1,535.0,311.0,534.2,309.2,1.97,9.156,9.25,0.09,2.194,2.5,0.31,True,0.0,True,0.0,3,1,PASS,0.998,555.97
pair_041,Set A,gen_041,1,1,462.0,496.0,461.7,494.7,1.33,10.629,10.75,0.12,3.476,3.5,0.02,True,0.0,True,0.0,13,1,PASS,0.9975,564.9
pair_042,Set A,gen_042,1,1,486.0,305.0,485.2,304.2,1.13,10.398,10.25,0.15,3.742,3.5,0.24,True,1.0,True,0.0,2,1,PASS,0.9981,600.01
pair_043,Set A,gen_043,1,1,537.0,494.0,536.7,493.7,0.42,11.632,11.75,0.12,-3.66,-3.5,0.16,True,1.0,True,0.71,2,1,PASS,0.9971,524.78
pair_044,Set A,gen_044,1,1,464.0,307.0,462.7,307.35,1.35,9.008,9.0,0.01,-1.395,-1.5,0.1,True,1.0,True,0.0,8,1,PASS,0.998,610.29
pair_045,Set A,gen_045,1,1,517.0,524.0,516.2,523.2,1.13,9.838,10.0,0.16,2.503,2.5,0.0,True,1.0,True,0.0,1,1,PASS,0.9986,589.42
pair_046,Set A,gen_046,1,1,517.0,325.0,516.7,324.7,0.42,11.038,11.0,0.04,-0.877,-1.0,0.12,True,0.0,True,0.0,33,1,PASS,0.9978,519.62
pair_047,Set A,gen_047,1,1,529.0,529.0,528.7,527.7,1.33,11.06,11.0,0.06,3.489,3.5,0.01,True,0.0,True,0.71,2,1,PASS,0.9924,484.01
pair_048,Set A,gen_048,1,1,494.0,287.0,493.2,286.23,1.11,10.243,10.25,0.01,4.507,4.0,0.51,True,1.0,True,0.0,1,1,PASS,0.9969,569.51
pair_049,Set A,gen_049,1,1,476.0,478.0,476.3,478.3,0.42,10.475,10.75,0.28,-4.142,-4.0,0.14,True,0.0,True,0.0,19,1,PASS,0.9966,598.68
pair_050,Set A,gen_050,1,1,476.0,298.0,475.2,298.3,0.85,8.638,8.75,0.11,2.295,2.5,0.21,True,0.0,True,0.0,2,1,PASS,0.9943,594.82
pair_051,Set A,gen_051,1,1,475.0,479.0,474.2,479.51,0.95,10.459,10.25,0.21,1.336,1.5,0.16,True,0.0,True,0.0,2,1,PASS,0.9968,567.76
pair_052,Set A,gen_052,1,1,525.0,336.0,525.33,336.3,0.45,8.102,8.25,0.15,4.174,4.0,0.17,True,1.0,True,0.0,30,1,PASS,0.9903,521.92
pair_053,Set A,gen_053,1,1,538.0,461.0,537.2,460.2,1.13,8.601,8.75,0.15,-2.792,-2.5,0.29,True,1.0,True,0.0,2,1,PASS,0.9956,546.0
pair_054,Set A,gen_054,1,1,466.0,336.0,466.0,335.7,0.3,8.214,8.25,0.04,-4.393,-4.0,0.39,True,0.0,True,0.71,2,1,PASS,0.9957,547.51
pair_055,Set A,gen_055,1,1,526.0,479.0,524.3,478.55,1.76,9.311,9.25,0.06,1.258,1.0,0.26,True,1.0,True,0.0,41,1,PASS,0.9983,535.89
pair_056,Set A,gen_056,1,1,504.0,293.0,503.71,293.3,0.42,9.544,9.75,0.21,2.048,1.5,0.55,True,1.0,True,0.0,22,1,PASS,0.9985,549.77
pair_057,Set A,gen_057,1,1,481.0,468.0,482.24,467.64,1.29,10.072,10.25,0.18,-3.276,-3.5,0.22,True,1.0,True,0.0,5,1,PASS,0.9986,519.51
pair_058,Set A,gen_058,1,1,536.0,345.0,536.3,346.3,1.33,11.497,11.75,0.25,0.789,1.0,0.21,True,1.0,True,0.71,2,1,PASS,0.9977,483.22
pair_059,Set A,gen_059,1,1,477.0,485.0,477.3,484.96,0.3,10.716,10.75,0.03,-4.157,-4.0,0.16,True,0.0,True,0.0,47,1,PASS,0.9974,566.61
pair_060,Set A,gen_060,1,1,512.0,327.0,511.2,326.2,1.13,9.265,9.25,0.02,4.843,5.0,0.16,True,1.0,True,0.0,1,1,PASS,0.9978,539.52
pair_061,Set A,gen_001,1,1,676.0,317.0,675.7,318.3,1.33,10.852,11.0,0.15,2.393,2.5,0.11,True,1.0,True,0.0,30,1,PASS,0.9989,515.46
pair_062,Set A,gen_002,1,1,687.0,369.0,688.3,367.7,1.84,11.051,11.25,0.2,3.903,4.0,0.1,True,0.0,True,0.0,29,1,PASS,0.9988,501.68
pair_063,Set A,gen_003,1,1,468.0,529.0,467.66,529.78,0.85,10.077,10.25,0.17,0.886,1.0,0.11,True,1.0,True,0.0,1,1,PASS,0.9982,533.32
pair_064,Set A,gen_004,1,1,357.0,654.0,355.7,653.08,1.59,11.313,11.25,0.06,-3.082,-3.5,0.42,True,1.0,True,0.71,2,1,PASS,0.9944,451.24
pair_065,Set A,gen_005,1,1,501.0,460.0,501.7,460.8,1.06,9.332,9.25,0.08,-4.654,-5.0,0.35,True,1.0,True,0.0,2,1,PASS,0.9928,516.37
pair_066,Set A,gen_006,1,1,320.0,702.0,319.32,702.09,0.69,8.693,8.75,0.06,-3.058,-3.5,0.44,True,1.41,True,0.0,3,1,PASS,0.9925,519.83
pair_067,Set A,gen_007,1,1,520.0,469.0,519.2,469.3,0.85,9.769,10.0,0.23,4.247,4.0,0.25,True,1.0,True,0.0,1,1,PASS,0.9965,532.32
pair_068,Set A,gen_008,1,1,322.0,652.0,320.7,653.3,1.84,8.172,8.25,0.08,3.852,4.0,0.15,True,0.0,True,0.0,9,1,PASS,0.9955,533.03
pair_069,Set A,gen_009,1,1,438.0,464.0,438.24,463.2,0.84,10.308,10.25,0.06,-1.448,-2.5,1.05,True,0.0,True,0.0,2,1,PASS,0.9977,518.57
pair_070,Set A,gen_010,1,1,387.0,569.0,387.3,568.7,0.42,8.195,8.25,0.05,4.584,5.0,0.42,True,0.0,True,0.71,1,1,PASS,0.9855,530.81
pair_071,Set B,gen_011,1,1,493.0,510.0,493.33,507.67,2.35,9.11,10.75,1.64,-4.039,-3.5,0.54,True,1.0,True,1.0,46,1,E,0.9911,415.73
pair_072,Set B,gen_012,1,1,531.0,327.0,532.2,846.8,519.8,11.95,9.25,2.7,-3.171,-1.5,1.67,True,11.66,False,12.75,10,-1,B,0.9583,543.18
pair_073,Set B,gen_013,1,1,497.0,709.0,186.3,521.11,363.09,10.311,9.0,1.31,-3.481,1.0,4.48,True,21.02,False,20.02,48,-1,B,0.9962,551.15
pair_074,Set B,gen_014,1,1,322.0,462.0,409.7,140.16,333.57,11.56,9.0,2.56,3.369,-1.5,4.87,True,13.93,False,17.39,62,-1,B,0.9217,533.15
pair_075,Set B,gen_015,1,1,474.0,389.0,480.2,647.21,258.28,8.026,11.75,3.72,-2.255,1.0,3.25,True,18.03,False,17.09,19,-1,B,0.969,416.42
pair_076,Set B,gen_016,1,1,327.0,498.0,253.3,763.3,275.35,8.943,10.75,1.81,4.124,1.0,3.12,True,12.04,False,13.51,8,-1,B,0.9975,468.62
pair_077,Set B,gen_017,1,1,460.0,288.0,457.8,287.2,2.34,9.167,9.25,0.08,0.439,1.0,0.56,True,0.0,True,0.0,75,1,PASS,0.9294,600.14
pair_078,Set B,gen_018,1,1,487.0,533.0,484.7,537.25,4.83,9.264,8.25,1.01,-4.91,-5.0,0.09,True,1.41,True,1.41,56,1,E,0.9602,534.31
pair_079,Set B,gen_019,1,1,503.0,522.0,503.7,523.48,1.64,9.34,8.25,1.09,-4.19,-5.0,0.81,True,1.0,True,1.58,9,1,E,0.8371,532.98
pair_080,Set B,gen_020,1,1,489.0,285.0,489.7,316.7,31.71,11.535,12.0,0.46,-3.206,-1.0,2.21,False,31.02,False,30.5,64,-1,A,0.7317,399.3
pair_081,Set B,gen_021,1,1,494.0,525.0,495.8,527.8,3.33,9.155,8.75,0.4,-3.086,-2.5,0.59,True,1.0,True,1.58,6,1,PASS,0.9935,566.35
pair_082,Set B,gen_022,1,1,495.0,309.0,495.0,330.7,21.7,9.462,10.75,1.29,0.432,1.0,0.57,True,21.02,False,21.51,69,-1,B,0.9948,500.39
pair_083,Set B,gen_023,1,1,526.0,503.0,521.89,502.3,4.17,11.99,12.0,0.01,-3.508,1.0,4.51,True,3.0,True,4.53,1,1,F,0.9147,433.1
pair_084,Set B,gen_024,1,1,487.0,295.0,486.19,283.3,11.73,10.161,9.75,0.41,-2.622,-5.0,2.38,True,6.32,False,7.65,62,-1,B,0.7821,500.39
pair_085,Set B,gen_025,1,1,474.0,537.0,472.3,540.7,4.07,9.19,8.25,0.94,3.517,4.0,0.48,True,2.24,True,3.16,55,11,C,0.9971,499.56
pair_086,Set B,gen_026,1,1,461.0,305.0,459.7,305.3,1.33,10.877,11.0,0.12,2.867,2.5,0.37,True,0.0,True,0.0,19,1,PASS,0.9982,499.69
pair_087,Set B,gen_027,1,1,467.0,514.0,466.06,513.7,0.99,11.723,11.75,0.03,2.22,2.5,0.28,True,1.0,True,0.71,1,1,PASS,0.9943,482.63
pair_088,Set B,gen_028,1,1,530.0,338.0,536.8,315.39,23.61,10.697,9.25,1.45,-0.649,-1.0,0.35,True,20.88,False,14.32,47,-1,B,0.9953,599.62
pair_089,Set B,gen_029,1,1,478.0,474.0,480.3,476.3,3.25,10.454,11.25,0.8,-4.55,-4.0,0.55,True,1.41,True,1.58,17,1,E,0.9833,449.85
pair_090,Set B,gen_030,1,1,471.0,314.0,468.3,290.7,23.46,8.4,8.0,0.4,4.778,5.0,0.22,True,22.2,False,21.78,40,-1,B,0.9056,583.76
pair_091,Set B,gen_031,1,1,509.0,464.0,512.3,459.27,5.77,9.032,8.25,0.78,3.603,5.0,1.4,True,5.39,False,5.7,2,-1,B,0.9871,549.92
pair_092,Set B,gen_032,1,1,509.0,299.0,509.3,299.21,0.37,11.245,11.25,0.01,2.428,2.5,0.07,True,0.0,True,0.0,26,1,PASS,0.9816,516.56
pair_093,Set B,gen_033,1,1,497.0,468.0,494.7,460.7,7.65,9.062,8.0,1.06,3.084,3.5,0.42,True,6.08,False,5.52,13,-1,B,0.9963,499.61
pair_094,Set B,gen_034,1,1,516.0,338.0,511.7,369.3,31.59,8.487,10.75,2.26,-0.376,-1.0,0.62,False,28.28,False,29.71,45,-1,A,0.998,466.44
pair_095,Set B,gen_035,1,1,467.0,475.0,608.3,524.3,149.65,11.897,12.0,0.1,4.302,1.0,3.3,True,15.81,False,45.44,55,-1,B,0.9979,433.15
pair_096,Set B,gen_036,1,1,524.0,285.0,519.72,313.5,28.82,9.228,10.75,1.52,-3.802,-4.0,0.2,False,28.16,False,17.68,40,-1,A,0.9683,416.31
pair_097,Set B,gen_037,1,1,510.0,471.0,508.71,474.8,4.01,9.326,10.25,0.92,0.69,-1.0,1.69,True,3.0,True,2.55,64,1,E,0.9971,466.52
pair_098,Set B,gen_038,1,1,473.0,339.0,468.2,315.2,24.28,10.62,9.25,1.37,-4.413,-3.5,0.91,True,12.17,False,22.36,17,-1,B,0.9984,550.77
pair_099,Set B,gen_039,1,1,468.0,505.0,471.2,504.01,3.35,8.747,9.75,1.0,0.221,-2.5,2.72,True,2.24,True,3.54,1,1,E,0.8917,549.53
pair_100,Set B,gen_040,1,1,505.0,345.0,507.8,335.8,9.62,11.178,10.25,0.93,-2.425,-1.5,0.92,True,8.0,False,8.51,72,-1,B,0.8096,550.04
pair_101,Set B,gen_041,1,1,507.0,502.0,507.7,500.7,1.48,8.993,8.25,0.74,1.639,1.5,0.14,True,1.0,True,0.71,64,1,E,0.993,501.52
pair_102,Set B,gen_042,1,1,535.0,294.0,530.3,324.7,31.06,9.614,11.0,1.39,-0.804,-1.0,0.2,True,9.22,False,31.98,1,-1,B,0.983,399.58
pair_103,Set B,gen_043,1,1,496.0,534.0,494.7,529.3,4.88,10.554,12.0,1.45,-1.19,-2.5,1.31,True,5.1,False,5.52,1,-1,B,0.9265,432.86
pair_104,Set B,gen_044,1,1,523.0,275.0,527.8,239.8,35.53,9.993,8.75,1.24,0.773,2.5,1.73,True,8.0,False,34.94,65,-1,B,0.9953,484.71
pair_105,Set B,gen_045,1,1,495.0,477.0,492.7,473.7,4.02,9.053,8.25,0.8,3.546,2.5,1.05,True,2.83,True,2.55,23,1,E,0.9852,550.75
pair_106,Set B,gen_046,1,1,508.0,299.0,504.19,338.21,39.39,11.458,8.25,3.21,4.157,2.5,1.66,True,20.62,False,19.81,49,-1,B,0.6802,418.8
pair_107,Set B,gen_047,1,1,513.0,519.0,515.18,522.3,3.96,11.514,10.75,0.76,-3.513,-3.5,0.01,True,1.41,True,2.83,35,1,E,0.994,549.67
pair_108,Set B,gen_048,1,1,511.0,275.0,512.7,241.7,33.34,8.942,8.0,0.94,1.32,1.5,0.18,False,33.02,False,32.53,30,-1,A,0.8479,499.87
pair_109,Set B,gen_049,1,1,537.0,534.0,532.2,530.8,5.77,9.096,10.25,1.15,-1.936,-1.5,0.44,True,3.61,True,4.24,68,10,C,0.9974,500.3
pair_110,Set B,gen_050,1,1,522.0,285.0,523.8,283.2,2.55,9.173,9.25,0.08,4.503,4.0,0.5,True,1.0,True,1.0,22,1,PASS,0.9564,549.69
pair_111,Set B,gen_051,1,1,473.0,489.0,475.3,490.3,2.64,8.963,9.75,0.79,3.342,3.5,0.16,True,1.41,True,1.0,28,1,E,0.9963,550.32
pair_112,Set B,gen_052,1,1,519.0,293.0,516.3,311.3,18.5,10.765,11.75,0.98,1.163,-1.0,2.16,True,16.49,False,17.1,63,-1,B,0.8763,433.26
pair_113,Set B,gen_053,1,1,523.0,522.0,523.2,524.8,2.81,10.813,10.25,0.56,3.244,3.5,0.26,True,2.24,True,2.12,3,1,E,0.9816,566.67
pair_114,Set B,gen_054,1,1,532.0,324.0,534.8,309.8,14.47,11.037,10.25,0.79,-0.964,-1.0,0.04,True,14.14,False,14.58,25,-1,B,0.9978,550.3
pair_115,Set B,gen_055,1,1,537.0,465.0,536.2,465.8,1.13,10.295,10.25,0.04,-1.886,-1.5,0.39,True,0.0,True,0.0,3,1,PASS,0.997,533.58
pair_116,Set B,gen_056,1,1,508.0,326.0,512.7,292.7,33.63,9.196,8.0,1.2,-2.405,-1.5,0.9,False,29.43,False,31.82,11,-1,A,0.9857,500.29
pair_117,Set B,gen_057,1,1,537.0,462.0,538.7,458.7,3.71,9.646,9.0,0.65,0.505,1.0,0.49,True,2.24,True,2.83,5,1,E,0.9981,533.53
pair_118,Set B,gen_058,1,1,522.0,324.0,525.3,308.3,16.04,8.563,8.0,0.56,0.062,1.0,0.94,True,16.12,False,15.57,60,-1,B,0.9757,501.6
pair_119,Set B,gen_059,1,1,525.0,502.0,525.3,500.7,1.33,8.912,9.0,0.09,-2.052,-1.5,0.55,True,1.0,True,0.0,4,1,PASS,0.9966,566.7
pair_120,Set B,gen_060,1,1,482.0,335.0,483.7,359.7,24.76,10.218,12.0,1.78,1.237,2.5,1.26,False,26.17,False,24.75,60,-1,A,0.9707,433.99
pair_121,Set B,gen_001,1,1,632.0,353.0,643.3,339.7,17.45,10.892,9.75,1.14,4.818,4.0,0.82,True,11.18,False,14.3,65,-1,B,0.9974,545.45
pair_122,Set B,gen_002,1,1,630.0,374.0,611.8,392.2,25.74,8.879,10.25,1.37,-4.12,-4.0,0.12,True,22.67,False,24.05,64,-1,B,0.9987,516.56
pair_123,Set B,gen_003,1,1,515.0,486.0,515.91,485.73,0.95,11.459,11.75,0.29,4.612,5.0,0.39,True,1.0,True,0.71,1,1,PASS,0.9964,484.16
pair_124,Set B,gen_004,1,1,319.0,619.0,310.3,625.7,10.98,10.593,9.75,0.84,-2.102,-1.5,0.6,True,12.73,False,12.04,11,-1,B,0.9849,566.47
pair_125,Set B,gen_005,1,1,506.0,527.0,507.11,527.3,1.15,8.485,8.25,0.23,1.108,1.5,0.39,True,1.0,True,0.0,6,1,PASS,0.9809,566.87
pair_126,Set B,gen_006,1,1,320.0,694.0,295.8,721.8,36.86,9.76,8.75,1.01,-3.066,-2.5,0.57,False,32.56,False,33.77,58,-1,A,0.9904,516.5
pair_127,Set B,gen_007,1,1,529.0,516.0,530.7,519.3,3.71,9.258,8.25,1.01,-1.802,-1.5,0.3,True,3.61,True,2.83,22,1,E,0.9774,516.54
pair_128,Set B,gen_008,1,1,322.0,664.0,309.15,674.7,16.72,11.313,10.75,0.56,1.795,1.0,0.79,True,15.56,False,16.26,49,-1,B,0.9965,508.18
pair_129,Set B,gen_009,1,1,424.0,496.0,431.3,494.97,7.37,9.781,10.75,0.97,-2.9,-3.5,0.6,True,6.0,False,6.52,5,-1,B,0.9553,466.89
pair_130,Set B,gen_010,1,1,422.0,556.0,421.2,555.2,1.13,8.653,8.75,0.1,-3.047,-2.5,0.55,True,0.0,True,0.0,1,1,PASS,0.9054,565.95
pair_131,Set B,gen_011,1,1,518.0,494.0,516.7,494.3,1.33,11.598,11.75,0.15,-2.377,-2.5,0.12,True,1.41,True,0.71,3,1,PASS,0.9932,516.1
pair_132,Set B,gen_012,1,1,476.0,344.0,287.0,139.3,278.61,8.078,9.0,0.92,3.944,1.0,2.94,True,14.42,False,17.8,43,-1,B,0.9804,533.27
pair_133,Set B,gen_013,1,1,485.0,716.0,483.0,754.8,38.85,10.355,8.75,1.61,2.456,1.5,0.96,False,38.01,False,37.5,54,-1,A,0.9885,532.26
pair_134,Set B,gen_014,1,1,286.0,460.0,310.3,463.7,24.58,10.79,12.0,1.21,4.681,5.0,0.32,True,21.21,False,21.78,15,-1,B,0.9879,417.12
pair_135,Set B,gen_015,1,1,538.0,441.0,531.7,701.7,260.78,11.644,10.75,0.89,-4.587,-1.0,3.59,True,8.06,False,9.62,29,-1,B,0.9913,500.13
pair_136,Set B,gen_016,1,1,334.0,492.0,743.22,598.2,422.78,9.992,8.75,1.24,-2.702,1.0,3.7,True,16.12,False,16.81,52,-1,B,0.9944,546.43
pair_137,Set B,gen_017,1,1,508.0,304.0,508.18,325.65,21.65,8.081,9.0,0.92,-2.388,-2.5,0.11,True,20.0,False,20.51,73,-1,B,0.9633,567.92
pair_138,Set B,gen_018,1,1,471.0,539.0,470.91,535.7,3.3,11.161,11.25,0.09,1.366,1.0,0.37,True,1.41,True,1.58,7,1,PASS,0.9026,449.87
pair_139,Set B,gen_019,1,1,460.0,514.0,460.2,512.2,1.81,8.676,9.25,0.57,2.527,2.5,0.03,True,1.41,True,0.71,79,1,E,0.9918,583.31
pair_140,Set B,gen_020,1,1,501.0,307.0,501.73,288.82,18.19,9.258,8.75,0.51,-1.847,-1.0,0.85,True,16.0,False,17.03,62,-1,B,0.9905,532.93
pair_141,Set C,gen_021,0,1,0.0,0.0,504.92,502.84,999.0,0.0,8.0,999.0,0.0,-1.0,999.0,False,999.0,False,999.0,-1,-1,C_ABSENT,0.6484,484.08
pair_142,Set C,gen_022,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,999.0,False,999.0,-1,-1,C_ABSENT,0.369,466.55
pair_143,Set C,gen_023,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,999.0,False,999.0,-1,-1,C_ABSENT,0.1107,415.64
pair_144,Set C,gen_024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,999.0,False,999.0,-1,-1,C_ABSENT,0.1107,399.65
pair_145,Set C,gen_025,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,999.0,False,999.0,-1,-1,C_ABSENT,0.0933,466.53
pair_146,Set C,gen_026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,999.0,False,999.0,-1,-1,C_ABSENT,0.0933,483.16
pair_147,Set C,gen_027,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,999.0,False,999.0,-1,-1,C_ABSENT,0.4405,435.05
pair_148,Set C,gen_028,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,999.0,False,999.0,-1,-1,C_ABSENT,0.4405,417.34
pair_149,Set C,gen_029,0,1,0.0,0.0,499.8,500.8,999.0,0.0,8.75,999.0,0.0,5.0,999.0,False,999.0,False,999.0,-1,-1,C_ABSENT,0.9466,549.71
