pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,runtime_ms
pair_081,Set B,gen_021,1,1,494.0,525.0,495.8,526.2,2.16,9.155,8.75,0.4,-3.086,-2.5,0.59,0.9935,709.95
pair_082,Set B,gen_022,1,1,495.0,309.0,494.7,330.7,21.7,9.462,10.75,1.29,0.432,1.0,0.57,0.9948,636.55
pair_083,Set B,gen_023,1,1,526.0,503.0,521.88,502.15,4.21,11.99,12.0,0.01,-3.508,1.0,4.51,0.9147,592.76
pair_084,Set B,gen_024,1,1,487.0,295.0,485.7,282.57,12.5,10.161,9.75,0.41,-2.622,-5.0,2.38,0.7821,692.54
pair_085,Set B,gen_025,1,1,474.0,537.0,472.3,540.7,4.07,9.19,8.25,0.94,3.517,4.0,0.48,0.9971,667.87
pair_086,Set B,gen_026,1,1,461.0,305.0,459.7,305.3,1.33,10.877,11.0,0.12,2.867,2.5,0.37,0.9982,649.83
pair_087,Set B,gen_027,1,1,467.0,514.0,467.3,514.9,0.95,11.723,11.75,0.03,2.22,2.5,0.28,0.9943,633.27
pair_088,Set B,gen_028,1,1,530.0,338.0,536.8,315.39,23.61,10.697,9.25,1.45,-0.649,-1.0,0.35,0.9953,804.46
pair_089,Set B,gen_029,1,1,478.0,474.0,480.3,476.3,3.25,10.454,11.25,0.8,-4.55,-4.0,0.55,0.9833,591.97
pair_090,Set B,gen_030,1,1,471.0,314.0,780.7,774.95,555.33,8.4,9.0,0.6,4.778,-1.0,5.78,0.9376,666.4
pair_091,Set B,gen_031,1,1,509.0,464.0,512.3,459.27,5.77,9.032,8.25,0.78,3.603,5.0,1.4,0.9871,666.4
pair_092,Set B,gen_032,1,1,509.0,299.0,509.3,299.3,0.42,11.245,11.25,0.01,2.428,2.5,0.07,0.9816,683.4
pair_093,Set B,gen_033,1,1,497.0,468.0,494.7,460.7,7.65,9.062,8.0,1.06,3.084,3.5,0.42,0.9963,677.0
pair_094,Set B,gen_034,1,1,516.0,338.0,511.7,369.3,31.59,8.487,10.75,2.26,-0.376,-1.0,0.62,0.998,662.78
pair_095,Set B,gen_035,1,1,467.0,475.0,107.7,886.64,546.39,11.897,11.25,0.65,4.302,-1.0,5.3,0.9985,579.15
pair_096,Set B,gen_036,1,1,524.0,285.0,116.7,358.09,413.81,9.228,11.25,2.02,-3.802,1.0,4.8,0.9191,562.93
pair_097,Set B,gen_037,1,1,510.0,471.0,509.3,474.3,3.37,9.326,10.75,1.42,0.69,1.5,0.81,0.9974,652.71
pair_098,Set B,gen_038,1,1,473.0,339.0,468.2,315.2,24.28,10.62,9.25,1.37,-4.413,-3.5,0.91,0.9984,683.61
pair_099,Set B,gen_039,1,1,468.0,505.0,472.3,504.07,4.4,8.747,9.75,1.0,0.221,-2.5,2.72,0.8917,681.36
pair_100,Set B,gen_040,1,1,505.0,345.0,506.2,334.2,10.87,11.178,10.25,0.93,-2.425,-1.5,0.92,0.8096,681.04
pair_101,Set B,gen_041,1,1,507.0,502.0,507.7,500.7,1.48,8.993,8.25,0.74,1.639,1.5,0.14,0.993,716.47
pair_102,Set B,gen_042,1,1,535.0,294.0,530.3,326.3,32.64,9.614,11.25,1.64,-0.804,-1.0,0.2,0.9862,578.5
pair_103,Set B,gen_043,1,1,496.0,534.0,497.3,529.3,4.88,10.554,12.0,1.45,-1.19,-1.0,0.19,0.9344,588.08
pair_104,Set B,gen_044,1,1,523.0,275.0,527.8,239.8,35.53,9.993,8.75,1.24,0.773,1.0,0.23,0.9963,673.16
pair_105,Set B,gen_045,1,1,495.0,477.0,492.7,473.7,4.02,9.053,8.25,0.8,3.546,2.5,1.05,0.9852,735.43
pair_106,Set B,gen_046,1,1,508.0,299.0,951.7,525.98,498.39,11.458,12.0,0.54,4.157,1.0,3.16,0.9356,566.82
pair_107,Set B,gen_047,1,1,513.0,519.0,158.8,470.8,357.46,11.514,9.25,2.26,-3.513,-1.0,2.51,0.9888,733.1
pair_108,Set B,gen_048,1,1,511.0,275.0,512.7,241.7,33.34,8.942,8.0,0.94,1.32,1.5,0.18,0.8479,651.24
pair_109,Set B,gen_049,1,1,537.0,534.0,839.3,520.3,302.61,9.096,11.0,1.9,-1.936,0.0,1.94,0.9891,681.15
pair_110,Set B,gen_050,1,1,522.0,285.0,523.8,284.0,2.06,9.173,9.25,0.08,4.503,4.0,0.5,0.9564,716.81
pair_111,Set B,gen_051,1,1,473.0,489.0,475.3,490.3,2.64,8.963,9.75,0.79,3.342,3.5,0.16,0.9963,716.45
pair_112,Set B,gen_052,1,1,519.0,293.0,915.26,552.3,473.56,10.765,11.0,0.23,1.163,1.0,0.16,0.6453,569.91
pair_113,Set B,gen_053,1,1,523.0,522.0,523.2,524.8,2.81,10.813,10.25,0.56,3.244,3.5,0.26,0.9816,700.47
pair_114,Set B,gen_054,1,1,532.0,324.0,534.8,308.2,16.05,11.037,10.25,0.79,-0.964,-1.0,0.04,0.9978,750.02
pair_115,Set B,gen_055,1,1,537.0,465.0,470.2,100.2,370.87,10.295,10.0,0.29,-1.886,1.0,2.89,0.9972,639.34
pair_116,Set B,gen_056,1,1,508.0,326.0,514.41,294.3,32.34,9.196,8.0,1.2,-2.405,-3.5,1.1,0.9861,650.0
pair_117,Set B,gen_057,1,1,537.0,462.0,538.7,458.7,3.71,9.646,9.0,0.65,0.505,1.0,0.49,0.9981,683.22
pair_118,Set B,gen_058,1,1,522.0,324.0,525.3,308.3,16.04,8.563,8.0,0.56,0.062,1.0,0.94,0.9757,657.65
pair_119,Set B,gen_059,1,1,525.0,502.0,525.3,500.7,1.33,8.912,9.0,0.09,-2.052,-1.5,0.55,0.9966,699.91
pair_120,Set B,gen_060,1,1,482.0,335.0,483.7,359.7,24.76,10.218,12.0,1.78,1.237,1.5,0.26,0.9729,566.89
pair_121,Set B,gen_001,1,1,632.0,353.0,641.7,339.7,16.46,10.892,9.75,1.14,4.818,3.5,1.32,0.9975,683.1
pair_122,Set B,gen_002,1,1,630.0,374.0,611.8,393.8,26.89,8.879,10.25,1.37,-4.12,-4.0,0.12,0.9987,649.91
pair_123,Set B,gen_003,1,1,515.0,486.0,514.7,485.66,0.45,11.459,11.75,0.29,4.612,5.0,0.39,0.9964,616.59
pair_124,Set B,gen_004,1,1,319.0,619.0,308.7,627.3,13.23,10.593,9.75,0.84,-2.102,-1.5,0.6,0.9849,683.55
pair_125,Set B,gen_005,1,1,506.0,527.0,906.8,577.8,404.01,8.485,10.0,1.52,1.108,0.0,1.11,0.9956,699.94
pair_126,Set B,gen_006,1,1,320.0,694.0,295.8,720.2,35.67,9.76,8.75,1.01,-3.066,-2.5,0.57,0.9904,666.56
pair_127,Set B,gen_007,1,1,529.0,516.0,532.09,518.8,4.17,9.258,8.75,0.51,-1.802,-1.5,0.3,0.9777,699.81
pair_128,Set B,gen_008,1,1,322.0,664.0,309.14,676.3,17.8,11.313,10.75,0.56,1.795,1.0,0.79,0.9965,683.39
pair_129,Set B,gen_009,1,1,424.0,496.0,684.3,97.7,475.81,9.781,11.0,1.22,-2.9,1.0,3.9,0.9266,616.5
pair_130,Set B,gen_010,1,1,422.0,556.0,421.2,556.8,1.13,8.653,8.75,0.1,-3.047,-2.5,0.55,0.9054,733.91
pair_131,Set B,gen_011,1,1,518.0,494.0,517.2,329.33,164.67,11.598,10.0,1.6,-2.377,-1.0,1.38,0.9959,677.03
pair_132,Set B,gen_012,1,1,476.0,344.0,286.7,883.3,571.56,8.078,9.0,0.92,3.944,1.0,2.94,0.9902,666.14
pair_133,Set B,gen_013,1,1,485.0,716.0,482.2,753.2,37.31,10.355,8.75,1.61,2.456,1.5,0.96,0.9885,683.43
pair_134,Set B,gen_014,1,1,286.0,460.0,479.19,208.7,316.98,10.79,11.25,0.46,4.681,0.0,4.68,0.9936,596.69
pair_135,Set B,gen_015,1,1,538.0,441.0,531.7,701.7,260.78,11.644,10.75,0.89,-4.587,-1.0,3.59,0.9913,600.13
pair_136,Set B,gen_016,1,1,334.0,492.0,205.99,813.8,346.33,9.992,8.75,1.24,-2.702,1.0,3.7,0.9957,666.76
pair_137,Set B,gen_017,1,1,508.0,304.0,508.3,324.7,20.7,8.081,9.0,0.92,-2.388,-2.5,0.11,0.9633,733.35
pair_138,Set B,gen_018,1,1,471.0,539.0,472.3,537.3,2.14,11.161,11.25,0.09,1.366,1.0,0.37,0.9026,560.0
pair_139,Set B,gen_019,1,1,460.0,514.0,460.2,513.26,0.77,8.676,9.25,0.57,2.527,2.5,0.03,0.9918,717.49
pair_140,Set B,gen_020,1,1,501.0,307.0,501.8,288.2,18.82,9.258,8.75,0.51,-1.847,-1.0,0.85,0.9905,699.88
pair_141,Set C,gen_021,0,1,0.0,0.0,506.7,498.3,999.0,0.0,12.0,999.0,0.0,-1.0,999.0,0.6909,616.66
pair_142,Set C,gen_022,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3895,616.75
pair_143,Set C,gen_023,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299,549.94
pair_144,Set C,gen_024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299,583.62
pair_145,Set C,gen_025,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4543,620.53
pair_146,Set C,gen_026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4543,650.3
pair_147,Set C,gen_027,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4536,583.39
pair_148,Set C,gen_028,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4536,625.98
pair_149,Set C,gen_029,0,1,0.0,0.0,582.8,451.81,999.0,0.0,10.0,999.0,0.0,0.0,999.0,0.9614,734.26
pair_150,Set C,gen_030,0,1,0.0,0.0,582.8,451.81,999.0,0.0,10.0,999.0,0.0,0.0,999.0,0.9614,706.06
pair_151,Set C,gen_031,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,633.72
pair_152,Set C,gen_032,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459,678.78
pair_153,Set C,gen_033,0,1,0.0,0.0,716.2,942.8,999.0,0.0,8.75,999.0,0.0,-1.0,999.0,0.8857,660.86
pair_154,Set C,gen_034,0,1,0.0,0.0,716.2,942.8,999.0,0.0,8.75,999.0,0.0,-1.0,999.0,0.8857,685.22
pair_155,Set C,gen_035,0,1,0.0,0.0,206.43,225.3,999.0,0.0,12.0,999.0,0.0,-1.0,999.0,0.9796,521.55
pair_156,Set C,gen_036,0,1,0.0,0.0,206.43,225.3,999.0,0.0,12.0,999.0,0.0,-1.0,999.0,0.9796,558.49
pair_157,Set C,gen_037,0,1,0.0,0.0,510.7,502.3,999.0,0.0,12.0,999.0,0.0,1.0,999.0,0.8275,545.22
pair_158,Set C,gen_038,0,1,0.0,0.0,510.7,502.3,999.0,0.0,12.0,999.0,0.0,1.0,999.0,0.8275,549.81
pair_159,Set C,gen_039,0,1,0.0,0.0,502.3,504.3,999.0,0.0,12.0,999.0,0.0,1.0,999.0,0.7729,575.64
pair_160,Set C,gen_040,0,1,0.0,0.0,502.3,504.3,999.0,0.0,12.0,999.0,0.0,1.0,999.0,0.7729,580.46
pair_161,Set C,gen_041,0,1,0.0,0.0,490.7,498.7,999.0,0.0,9.0,999.0,0.0,-1.0,999.0,0.6334,628.73
pair_162,Set C,gen_042,0,1,0.0,0.0,490.7,498.7,999.0,0.0,9.0,999.0,0.0,-1.0,999.0,0.6334,628.25
pair_163,Set C,gen_043,0,1,0.0,0.0,449.3,529.3,999.0,0.0,12.0,999.0,0.0,1.0,999.0,0.8377,603.53
pair_164,Set C,gen_044,0,1,0.0,0.0,449.3,529.3,999.0,0.0,12.0,999.0,0.0,1.0,999.0,0.8377,628.74
pair_165,Set C,gen_045,0,1,0.0,0.0,501.3,505.7,999.0,0.0,11.75,999.0,0.0,-1.0,999.0,0.6939,556.57
pair_166,Set C,gen_046,0,1,0.0,0.0,501.3,505.7,999.0,0.0,11.75,999.0,0.0,-1.0,999.0,0.6939,583.43
pair_167,Set C,gen_047,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3833,657.12
pair_168,Set C,gen_048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3833,661.45
pair_169,Set C,gen_049,0,1,0.0,0.0,507.8,508.68,999.0,0.0,10.25,999.0,0.0,1.5,999.0,0.5028,645.06
pair_170,Set C,gen_050,0,1,0.0,0.0,507.8,508.68,999.0,0.0,10.25,999.0,0.0,1.5,999.0,0.5028,664.85
pair_171,Set C,gen_051,0,1,0.0,0.0,418.3,551.7,999.0,0.0,8.25,999.0,0.0,0.0,999.0,0.693,645.12
pair_172,Set C,gen_052,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4267,607.21
pair_173,Set C,gen_053,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2569,594.08
pair_174,Set C,gen_054,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3493,614.58
pair_175,Set C,gen_055,0,1,0.0,0.0,952.3,958.3,999.0,0.0,11.75,999.0,0.0,-1.0,999.0,0.5658,518.74
pair_176,Set C,gen_056,0,1,0.0,0.0,952.3,958.3,999.0,0.0,11.75,999.0,0.0,-1.0,999.0,0.5658,516.01
pair_177,Set C,gen_057,0,1,0.0,0.0,434.78,911.8,999.0,0.0,8.75,999.0,0.0,1.0,999.0,0.8696,599.9
pair_178,Set C,gen_058,0,1,0.0,0.0,558.7,931.7,999.0,0.0,10.75,999.0,0.0,-3.5,999.0,0.6331,519.14
pair_179,Set C,gen_059,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272,651.96
pair_180,Set C,gen_060,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272,657.95
pair_181,Set D,gen_001,1,1,669.0,376.0,669.8,376.8,1.13,9.44,9.25,0.19,-2.082,-2.5,0.42,0.9988,783.26
pair_182,Set D,gen_002,1,1,614.0,361.0,614.8,360.2,1.13,8.666,8.75,0.08,4.834,5.0,0.17,0.9989,685.3
pair_183,Set D,gen_003,1,1,521.0,511.0,519.77,510.66,1.28,9.506,9.75,0.24,2.521,2.5,0.02,0.9982,744.96
pair_184,Set D,gen_004,1,1,382.0,646.0,383.3,647.08,1.69,10.703,10.75,0.05,-1.021,-1.0,0.02,0.998,722.87
pair_185,Set D,gen_005,1,1,470.0,520.0,470.77,370.76,149.24,9.43,10.0,0.57,-4.296,0.0,4.3,0.9987,799.39
pair_186,Set D,gen_006,1,1,297.0,732.0,295.79,731.94,1.21,11.76,11.75,0.01,-4.899,-5.0,0.1,0.998,607.06
pair_187,Set D,gen_007,1,1,454.0,498.0,454.0,498.66,0.66,8.246,8.25,0.0,3.095,3.5,0.4,0.9941,737.93
pair_188,Set D,gen_008,1,1,378.0,657.0,377.21,656.13,1.18,10.29,10.25,0.04,-1.864,-1.5,0.36,0.9974,679.91
pair_189,Set D,gen_009,1,1,481.0,436.0,561.0,876.0,447.21,9.448,10.0,0.55,-0.682,0.0,0.68,0.999,735.66
pair_190,Set D,gen_010,1,1,389.0,553.0,388.2,552.2,1.13,8.467,8.75,0.28,-0.517,-1.0,0.48,0.9539,748.25
pair_191,Set D,gen_011,1,1,537.0,466.0,701.77,465.2,164.77,10.332,10.0,0.33,2.423,0.0,2.42,0.999,649.78
pair_192,Set D,gen_012,1,1,490.0,365.0,490.58,530.15,165.15,8.563,10.0,1.44,0.456,0.0,0.46,0.999,762.32
