dataset,pair_id,set,gen_id,gt_x,gt_y,gt_theta,gt_scale,gt_found,pred_x,pred_y,pred_theta,pred_scale,pred_found,pred_score,loc_err_px,scale_err,theta_err_deg,gt_in_top5,runtime_ms
ds2_60gen,pair_027,Set A,gen_027,487.0,490.0,4.625,10.295,1,927.8,169.2,0.0,10.0,1,0.9988,545.18,0.29,4.62,False,583.86
ds2_60gen,pair_028,Set A,gen_028,515.0,292.0,-3.325,8.782,1,75.8,227.2,0.0,10.0,1,0.9987,443.95,1.22,3.33,False,616.26
ds2_60gen,pair_029,Set A,gen_029,510.0,535.0,4.519,10.895,1,482.8,679.8,0.0,10.0,1,0.9988,147.33,0.89,4.52,False,533.56
ds2_60gen,pair_030,Set A,gen_030,492.0,349.0,-4.182,10.402,1,380.8,204.2,0.0,10.0,1,0.9989,182.57,0.4,4.18,False,549.68
ds2_60gen,pair_031,Set A,gen_031,521.0,537.0,0.506,9.782,1,520.99,537.8,1.0,10.0,1,0.9954,0.8,0.22,0.49,True,582.87
ds2_60gen,pair_032,Set A,gen_032,471.0,318.0,3.636,8.236,1,247.2,178.8,0.0,10.0,1,0.9972,263.56,1.76,3.64,False,549.8
ds2_60gen,pair_033,Set A,gen_033,467.0,481.0,-1.137,8.364,1,466.2,480.7,-1.5,8.25,1,0.8274,0.85,0.11,0.36,True,550.0
ds2_60gen,pair_034,Set A,gen_034,473.0,335.0,-3.576,11.1,1,472.2,338.38,-3.5,10.0,1,0.9814,3.47,1.1,0.08,True,467.83
ds2_60gen,pair_035,Set A,gen_035,532.0,509.0,-1.932,9.174,1,297.2,301.01,0.0,10.0,1,0.999,313.67,0.83,1.93,False,569.44
ds2_60gen,pair_036,Set A,gen_036,495.0,303.0,3.337,10.213,1,364.99,277.0,0.0,10.0,1,0.999,132.58,0.21,3.34,True,550.17
ds2_60gen,pair_037,Set A,gen_037,507.0,471.0,4.163,11.979,1,74.95,879.8,0.0,10.0,1,0.9987,594.8,1.98,4.16,False,466.66
ds2_60gen,pair_038,Set A,gen_038,462.0,330.0,4.42,11.59,1,221.63,497.2,0.0,10.0,1,0.9984,292.8,1.59,4.42,False,483.27
ds2_60gen,pair_039,Set A,gen_039,482.0,475.0,1.761,11.908,1,103.2,187.8,0.0,10.0,1,0.9986,475.37,1.91,1.76,False,466.29
ds2_60gen,pair_040,Set A,gen_040,535.0,311.0,2.194,9.156,1,102.2,599.19,0.0,10.0,1,0.9984,519.97,0.84,2.19,False,549.47
ds2_60gen,pair_041,Set A,gen_041,462.0,496.0,3.476,10.629,1,246.8,207.98,0.0,10.0,1,0.9988,359.54,0.63,3.48,False,515.08
ds2_60gen,pair_042,Set A,gen_042,486.0,305.0,3.742,10.398,1,485.2,160.41,0.0,10.0,1,0.9985,144.59,0.4,3.74,False,533.41
ds2_60gen,pair_043,Set A,gen_043,537.0,494.0,-3.66,11.632,1,465.8,637.2,0.0,10.0,1,0.9988,159.92,1.63,3.66,False,449.98
ds2_60gen,pair_044,Set A,gen_044,464.0,307.0,-1.395,9.008,1,248.8,306.22,0.0,10.0,1,0.9986,215.2,0.99,1.4,False,565.27
ds2_60gen,pair_045,Set A,gen_045,517.0,524.0,2.503,9.838,1,516.2,523.2,2.5,10.0,1,0.9984,1.13,0.16,0.0,True,549.81
ds2_60gen,pair_046,Set A,gen_046,517.0,325.0,-0.877,11.038,1,193.8,612.2,0.0,10.0,1,0.9984,432.37,1.04,0.88,False,516.82
ds2_60gen,pair_047,Set A,gen_047,529.0,529.0,3.489,11.06,1,97.8,145.8,0.0,10.0,1,0.9989,576.87,1.06,3.49,False,466.35
ds2_60gen,pair_048,Set A,gen_048,494.0,287.0,4.507,10.243,1,86.8,118.2,0.0,10.0,1,0.9989,440.8,0.24,4.51,True,549.93
ds2_60gen,pair_049,Set A,gen_049,476.0,478.0,-4.142,10.475,1,590.8,306.18,0.0,10.0,1,0.9989,206.64,0.47,4.14,False,528.71
ds2_60gen,pair_050,Set A,gen_050,476.0,298.0,2.295,8.638,1,544.8,872.23,0.0,10.0,1,0.9989,578.34,1.36,2.29,False,553.06
ds2_60gen,pair_051,Set A,gen_051,475.0,479.0,1.336,10.459,1,618.2,70.41,0.0,10.0,1,0.9987,432.96,0.46,1.34,True,480.26
ds2_60gen,pair_052,Set A,gen_052,525.0,336.0,4.174,8.102,1,908.2,143.78,0.0,10.0,1,0.9987,428.71,1.9,4.17,False,541.87
ds2_60gen,pair_053,Set A,gen_053,538.0,461.0,-2.792,8.601,1,489.66,845.14,0.0,10.0,1,0.9989,387.17,1.4,2.79,False,530.64
ds2_60gen,pair_054,Set A,gen_054,466.0,336.0,-4.393,8.214,1,81.96,143.2,0.0,10.0,1,0.9989,429.72,1.79,4.39,False,479.9
ds2_60gen,pair_055,Set A,gen_055,526.0,479.0,1.258,9.311,1,64.5,114.69,0.0,10.0,1,0.9988,587.97,0.69,1.26,False,611.72
ds2_60gen,pair_056,Set A,gen_056,504.0,293.0,2.048,9.544,1,768.8,68.2,0.0,10.0,1,0.9987,347.35,0.46,2.05,False,523.83
ds2_60gen,pair_057,Set A,gen_057,481.0,468.0,-3.276,10.072,1,480.68,84.8,0.0,10.0,1,0.9989,383.2,0.07,3.28,True,507.26
ds2_60gen,pair_058,Set A,gen_058,536.0,345.0,0.789,11.497,1,535.23,152.96,0.0,10.0,1,0.9987,192.04,1.5,0.79,False,486.49
ds2_60gen,pair_059,Set A,gen_059,477.0,485.0,-4.157,10.716,1,476.97,100.2,0.0,10.0,1,0.9988,384.8,0.72,4.16,False,535.14
ds2_60gen,pair_060,Set A,gen_060,512.0,327.0,4.843,9.265,1,863.2,103.8,0.0,10.0,1,0.9987,416.12,0.73,4.84,False,510.0
ds2_60gen,pair_061,Set A,gen_001,676.0,317.0,2.393,10.852,1,674.7,316.99,2.5,10.75,1,0.9978,1.3,0.1,0.11,True,488.23
ds2_60gen,pair_062,Set A,gen_002,687.0,369.0,3.903,11.051,1,688.3,368.7,5.0,11.25,1,0.9974,1.33,0.2,1.1,True,456.64
ds2_60gen,pair_063,Set A,gen_003,468.0,529.0,0.886,10.077,1,467.66,529.78,1.0,10.25,1,0.9982,0.85,0.17,0.11,True,537.77
ds2_60gen,pair_064,Set A,gen_004,357.0,654.0,-3.082,11.313,1,357.12,304.35,0.0,10.0,1,0.998,349.65,1.31,3.08,False,448.86
ds2_60gen,pair_065,Set A,gen_005,501.0,460.0,-4.654,9.332,1,551.43,109.93,0.0,10.0,1,0.9987,353.68,0.67,4.65,False,524.1
ds2_60gen,pair_066,Set A,gen_006,320.0,702.0,-3.058,8.693,1,670.8,51.24,0.0,10.0,1,0.9987,739.29,1.31,3.06,False,539.77
ds2_60gen,pair_067,Set A,gen_007,520.0,469.0,4.247,9.769,1,518.7,469.3,4.0,9.75,1,0.9965,1.33,0.02,0.25,True,553.97
ds2_60gen,pair_068,Set A,gen_008,322.0,652.0,3.852,8.172,1,462.65,652.8,0.0,10.0,1,0.9978,140.65,1.83,3.85,False,581.48
ds2_60gen,pair_069,Set A,gen_009,438.0,464.0,-1.448,10.308,1,118.8,64.8,0.0,10.0,1,0.9991,511.13,0.31,1.45,False,500.04
ds2_60gen,pair_070,Set A,gen_010,387.0,569.0,4.584,8.195,1,107.01,528.2,0.0,10.0,1,0.9983,282.95,1.8,4.58,False,540.44
ds2_60gen,pair_071,Set B,gen_011,493.0,510.0,-4.039,9.11,1,494.03,509.8,-4.0,10.25,1,0.9882,1.05,1.14,0.04,True,435.23
ds2_60gen,pair_072,Set B,gen_012,531.0,327.0,-3.171,11.95,1,536.21,848.2,-3.5,10.0,1,0.9891,521.23,1.95,0.33,False,534.96
ds2_60gen,pair_073,Set B,gen_013,497.0,709.0,-3.481,10.311,1,496.8,731.16,-2.5,10.25,1,0.9905,22.16,0.06,0.98,False,562.99
ds2_60gen,pair_074,Set B,gen_014,322.0,462.0,3.369,11.56,1,301.3,456.7,4.0,9.75,1,0.9847,21.37,1.81,0.63,False,552.17
ds2_60gen,pair_075,Set B,gen_015,474.0,389.0,-2.255,8.026,1,480.3,407.3,-4.0,9.75,1,0.9937,19.35,1.72,1.75,False,442.68
ds2_60gen,pair_076,Set B,gen_016,327.0,498.0,4.124,8.943,1,342.8,499.8,2.5,10.25,1,0.9943,15.9,1.31,1.62,True,471.86
ds2_60gen,pair_077,Set B,gen_017,460.0,288.0,0.439,9.167,1,460.75,286.2,3.5,10.25,1,0.9618,1.95,1.08,3.06,True,599.87
ds2_60gen,pair_078,Set B,gen_018,487.0,533.0,-4.91,9.264,1,487.3,541.28,2.5,8.0,1,0.9401,8.29,1.26,7.41,True,567.39
ds2_60gen,pair_079,Set B,gen_019,503.0,522.0,-4.19,9.34,1,502.19,524.71,-1.5,9.0,1,0.919,2.83,0.34,2.69,True,514.95
ds2_60gen,pair_080,Set B,gen_020,489.0,285.0,-3.206,11.535,1,489.7,316.7,-1.0,12.0,1,0.9533,31.71,0.46,2.21,False,415.64
ds2_60gen,pair_081,Set B,gen_021,494.0,525.0,-3.086,9.155,1,572.8,526.8,-1.0,10.25,1,0.968,78.82,1.1,2.09,False,539.66
ds2_60gen,pair_082,Set B,gen_022,495.0,309.0,0.432,9.462,1,498.3,331.59,-3.5,12.0,1,0.9526,22.83,2.54,3.93,False,492.16
ds2_60gen,pair_083,Set B,gen_023,526.0,503.0,-3.508,11.99,1,521.89,502.3,1.0,12.0,1,0.9426,4.17,0.01,4.51,True,469.19
ds2_60gen,pair_084,Set B,gen_024,487.0,295.0,-2.622,10.161,1,487.65,285.96,3.5,11.25,1,0.9363,9.06,1.09,6.12,True,499.11
ds2_60gen,pair_085,Set B,gen_025,474.0,537.0,3.517,9.19,1,464.7,542.7,5.0,11.25,1,0.9715,10.91,2.06,1.48,True,521.3
ds2_60gen,pair_086,Set B,gen_026,461.0,305.0,2.867,10.877,1,462.3,304.98,2.5,10.75,1,0.9934,1.3,0.13,0.37,True,496.47
ds2_60gen,pair_087,Set B,gen_027,467.0,514.0,2.22,11.723,1,907.8,353.2,0.0,10.0,1,0.9984,469.21,1.72,2.22,False,509.33
ds2_60gen,pair_088,Set B,gen_028,530.0,338.0,-0.649,10.697,1,531.2,317.8,5.0,9.25,1,0.926,20.24,1.45,5.65,False,589.09
ds2_60gen,pair_089,Set B,gen_029,478.0,474.0,-4.55,10.454,1,65.3,54.3,1.0,9.75,1,0.9614,588.62,0.7,5.55,False,435.73
ds2_60gen,pair_090,Set B,gen_030,471.0,314.0,4.778,8.4,1,217.3,451.7,-1.0,9.0,1,0.9714,288.66,0.6,5.78,False,514.47
ds2_60gen,pair_091,Set B,gen_031,509.0,464.0,3.603,9.032,1,514.3,460.3,2.5,9.0,1,0.8457,6.46,0.03,1.1,True,531.75
ds2_60gen,pair_092,Set B,gen_032,509.0,299.0,2.428,11.245,1,509.8,299.8,-1.0,10.25,1,0.979,1.13,0.99,3.43,True,511.91
ds2_60gen,pair_093,Set B,gen_033,497.0,468.0,3.084,9.062,1,489.7,455.3,1.5,12.0,1,0.8973,14.65,2.94,1.58,True,545.09
ds2_60gen,pair_094,Set B,gen_034,516.0,338.0,-0.376,8.487,1,512.75,368.2,-1.0,10.25,1,0.9691,30.37,1.76,0.62,False,499.4
ds2_60gen,pair_095,Set B,gen_035,467.0,475.0,4.302,11.897,1,471.7,410.7,3.5,10.75,1,0.9489,64.47,1.15,0.8,False,432.58
ds2_60gen,pair_096,Set B,gen_036,524.0,285.0,-3.802,9.228,1,518.7,313.45,-3.5,10.75,1,0.9912,28.94,1.52,0.3,False,446.45
ds2_60gen,pair_097,Set B,gen_037,510.0,471.0,0.69,9.326,1,509.3,474.3,1.5,10.75,1,0.9839,3.37,1.42,0.81,True,520.13
ds2_60gen,pair_098,Set B,gen_038,473.0,339.0,-4.413,10.62,1,468.2,315.2,-3.5,9.25,1,0.9882,24.28,1.37,0.91,False,558.9
ds2_60gen,pair_099,Set B,gen_039,468.0,505.0,0.221,8.747,1,476.17,504.15,1.0,10.75,1,0.9224,8.21,2.0,0.78,True,568.58
ds2_60gen,pair_100,Set B,gen_040,505.0,345.0,-2.425,11.178,1,507.8,335.8,-1.5,10.25,1,0.7949,9.62,0.93,0.92,True,599.31
ds2_60gen,pair_101,Set B,gen_041,507.0,502.0,1.639,8.993,1,446.71,179.7,0.0,9.0,1,0.6343,327.89,0.01,1.64,False,526.0
ds2_60gen,pair_102,Set B,gen_042,535.0,294.0,-0.804,9.614,1,530.3,326.3,-1.0,11.25,1,0.5114,32.64,1.64,0.2,False,427.68
ds2_60gen,pair_103,Set B,gen_043,496.0,534.0,-1.19,10.554,1,681.3,98.19,-1.5,10.75,1,0.8705,473.57,0.2,0.31,False,419.77
ds2_60gen,pair_104,Set B,gen_044,523.0,275.0,0.773,9.993,1,0.0,0.0,0.0,0.0,0,0.3745,999.0,999.0,999.0,False,525.58
ds2_60gen,pair_105,Set B,gen_045,495.0,477.0,3.546,9.053,1,478.8,555.2,-1.0,10.0,1,0.8025,79.86,0.95,4.55,False,544.74
ds2_60gen,pair_106,Set B,gen_046,508.0,299.0,4.157,11.458,1,310.7,133.39,-1.0,11.25,1,0.6959,257.59,0.21,5.16,False,436.14
ds2_60gen,pair_107,Set B,gen_047,513.0,519.0,-3.513,11.514,1,591.3,443.7,-1.5,9.75,1,0.994,108.63,1.76,2.01,False,562.89
ds2_60gen,pair_108,Set B,gen_048,511.0,275.0,1.32,8.942,1,375.2,626.2,-4.0,8.75,1,0.6965,376.54,0.19,5.32,False,516.65
ds2_60gen,pair_109,Set B,gen_049,537.0,534.0,-1.936,9.096,1,532.2,530.8,-1.5,10.25,1,0.9983,5.77,1.15,0.44,True,553.76
ds2_60gen,pair_110,Set B,gen_050,522.0,285.0,4.503,9.173,1,504.8,501.2,1.0,10.25,1,0.9971,216.88,1.08,3.5,False,563.88
ds2_60gen,pair_111,Set B,gen_051,473.0,489.0,3.342,8.963,1,475.3,490.3,3.5,9.75,1,0.9964,2.64,0.79,0.16,True,522.19
ds2_60gen,pair_112,Set B,gen_052,519.0,293.0,1.163,10.765,1,914.3,728.3,1.5,11.0,1,0.9726,588.0,0.23,0.34,False,431.69
ds2_60gen,pair_113,Set B,gen_053,523.0,522.0,3.244,10.813,1,523.2,524.8,3.5,10.25,1,0.9953,2.81,0.56,0.26,True,553.72
ds2_60gen,pair_114,Set B,gen_054,532.0,324.0,-0.964,11.037,1,534.8,309.8,-1.0,10.25,1,0.9985,14.47,0.79,0.04,False,591.95
ds2_60gen,pair_115,Set B,gen_055,537.0,465.0,-1.886,10.295,1,317.74,885.07,-1.0,10.0,1,0.996,473.85,0.29,0.89,False,558.18
ds2_60gen,pair_116,Set B,gen_056,508.0,326.0,-2.405,9.196,1,292.2,257.2,1.0,8.75,1,0.5799,226.5,0.45,3.4,False,480.98
ds2_60gen,pair_117,Set B,gen_057,537.0,462.0,0.505,9.646,1,539.3,697.7,-1.5,9.75,1,0.9929,235.71,0.1,2.0,False,516.86
ds2_60gen,pair_118,Set B,gen_058,522.0,324.0,0.062,8.563,1,523.2,656.2,-1.5,9.25,1,0.9915,332.2,0.69,1.56,False,502.3
ds2_60gen,pair_119,Set B,gen_059,525.0,502.0,-2.052,8.912,1,909.8,693.2,0.0,10.0,1,0.9984,429.68,1.09,2.05,False,537.24
ds2_60gen,pair_120,Set B,gen_060,482.0,335.0,1.237,10.218,1,321.7,521.7,-3.5,11.75,1,0.8931,246.08,1.53,4.74,False,424.94
ds2_60gen,pair_121,Set B,gen_001,632.0,353.0,4.818,10.892,1,642.3,342.3,3.5,10.75,1,0.9949,14.85,0.14,1.32,True,534.15
ds2_60gen,pair_122,Set B,gen_002,630.0,374.0,-4.12,8.879,1,611.3,393.3,-3.5,10.75,1,0.9951,26.87,1.87,0.62,False,483.42
ds2_60gen,pair_123,Set B,gen_003,515.0,486.0,4.612,11.459,1,935.8,486.8,0.0,10.0,1,0.9908,420.8,1.46,4.61,True,483.95
ds2_60gen,pair_124,Set B,gen_004,319.0,619.0,-2.102,10.593,1,308.8,626.2,-5.0,9.25,1,0.9442,12.49,1.34,2.9,True,595.94
ds2_60gen,pair_125,Set B,gen_005,506.0,527.0,1.108,8.485,1,56.8,227.8,0.0,10.0,1,0.9975,539.72,1.52,1.11,False,538.03
ds2_60gen,pair_126,Set B,gen_006,320.0,694.0,-3.066,9.76,1,296.3,721.3,-2.5,9.0,1,0.6103,36.15,0.76,0.57,False,533.62
ds2_60gen,pair_127,Set B,gen_007,529.0,516.0,-1.802,9.258,1,532.89,518.8,-2.5,8.75,1,0.8862,4.79,0.51,0.7,True,549.89
ds2_60gen,pair_128,Set B,gen_008,322.0,664.0,1.795,11.313,1,309.8,674.2,-1.0,9.25,1,0.9941,15.9,2.06,2.79,False,550.17
ds2_60gen,pair_129,Set B,gen_009,424.0,496.0,-2.9,9.781,1,429.7,494.7,-2.5,11.0,1,0.9241,5.85,1.22,0.4,True,466.63
ds2_60gen,pair_130,Set B,gen_010,422.0,556.0,-3.047,8.653,1,102.2,475.2,-1.5,10.25,1,0.9816,329.85,1.6,1.55,False,553.43
ds2_60gen,pair_131,Set B,gen_011,518.0,494.0,-2.377,11.598,1,517.2,823.26,-1.0,10.0,1,0.9982,329.26,1.6,1.38,False,499.79
ds2_60gen,pair_132,Set B,gen_012,476.0,344.0,3.944,8.078,1,452.7,341.3,4.0,10.75,1,0.8255,23.46,2.67,0.06,False,533.43
ds2_60gen,pair_133,Set B,gen_013,485.0,716.0,2.456,10.355,1,480.3,755.3,1.5,9.75,1,0.9786,39.58,0.61,0.96,False,550.38
ds2_60gen,pair_134,Set B,gen_014,286.0,460.0,4.681,10.79,1,820.3,464.7,2.5,11.25,1,0.9925,534.32,0.46,2.18,False,416.56
ds2_60gen,pair_135,Set B,gen_015,538.0,441.0,-4.587,11.644,1,531.7,701.7,-1.0,10.75,1,0.9905,260.78,0.89,3.59,True,452.29
ds2_60gen,pair_136,Set B,gen_016,334.0,492.0,-2.702,9.992,1,638.7,912.7,1.0,10.75,1,0.9893,519.45,0.76,3.7,False,522.91
ds2_60gen,pair_137,Set B,gen_017,508.0,304.0,-2.388,8.081,1,509.2,325.8,2.5,9.25,1,0.881,21.83,1.17,4.89,False,578.2
ds2_60gen,pair_138,Set B,gen_018,471.0,539.0,1.366,11.161,1,0.0,0.0,0.0,0.0,0,0.4877,999.0,999.0,999.0,True,444.45
ds2_60gen,pair_139,Set B,gen_019,460.0,514.0,2.527,8.676,1,460.2,512.2,2.5,9.25,1,0.8506,1.81,0.57,0.03,True,563.91
ds2_60gen,pair_140,Set B,gen_020,501.0,307.0,-1.847,9.258,1,501.73,288.82,-1.0,8.75,1,0.7398,18.19,0.51,0.85,False,551.74
ds2_60gen,pair_141,Set C,gen_021,0.0,0.0,0.0,0.0,0,504.93,502.87,0.0,8.0,1,0.748,999.0,999.0,999.0,False,465.22
ds2_60gen,pair_142,Set C,gen_022,0.0,0.0,0.0,0.0,0,504.95,503.82,0.0,8.0,1,0.7462,999.0,999.0,999.0,False,443.43
ds2_60gen,pair_143,Set C,gen_023,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2071,0.0,0.0,0.0,False,385.02
ds2_60gen,pair_144,Set C,gen_024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2071,0.0,0.0,0.0,False,401.73
ds2_60gen,pair_145,Set C,gen_025,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4377,0.0,0.0,0.0,False,451.44
ds2_60gen,pair_146,Set C,gen_026,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4377,0.0,0.0,0.0,False,440.44
ds2_60gen,pair_147,Set C,gen_027,0.0,0.0,0.0,0.0,0,374.7,474.3,3.5,10.75,1,0.6095,999.0,999.0,999.0,False,434.04
ds2_60gen,pair_148,Set C,gen_028,0.0,0.0,0.0,0.0,0,374.7,474.3,3.5,10.75,1,0.6095,999.0,999.0,999.0,False,408.22
ds2_60gen,pair_149,Set C,gen_029,0.0,0.0,0.0,0.0,0,696.3,211.37,-1.0,9.75,1,0.9785,999.0,999.0,999.0,False,541.69
ds2_60gen,pair_150,Set C,gen_030,0.0,0.0,0.0,0.0,0,696.3,211.37,-1.0,9.75,1,0.9785,999.0,999.0,999.0,False,561.56
ds2_60gen,pair_151,Set C,gen_031,0.0,0.0,0.0,0.0,0,509.95,521.02,1.5,12.0,1,0.8124,999.0,999.0,999.0,False,467.35
ds2_60gen,pair_152,Set C,gen_032,0.0,0.0,0.0,0.0,0,509.95,521.02,1.5,12.0,1,0.8115,999.0,999.0,999.0,False,458.88
ds2_60gen,pair_153,Set C,gen_033,0.0,0.0,0.0,0.0,0,521.7,526.24,0.0,9.75,1,0.9667,999.0,999.0,999.0,False,513.88
ds2_60gen,pair_154,Set C,gen_034,0.0,0.0,0.0,0.0,0,521.7,526.24,0.0,9.75,1,0.9667,999.0,999.0,999.0,False,507.76
ds2_60gen,pair_155,Set C,gen_035,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2473,0.0,0.0,0.0,False,382.58
ds2_60gen,pair_156,Set C,gen_036,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2473,0.0,0.0,0.0,False,374.33
ds2_60gen,pair_157,Set C,gen_037,0.0,0.0,0.0,0.0,0,490.7,503.3,-1.5,10.75,1,0.8918,999.0,999.0,999.0,False,403.33
ds2_60gen,pair_158,Set C,gen_038,0.0,0.0,0.0,0.0,0,490.7,503.3,-1.5,10.75,1,0.8918,999.0,999.0,999.0,False,377.42
ds2_60gen,pair_159,Set C,gen_039,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2067,0.0,0.0,0.0,False,425.26
ds2_60gen,pair_160,Set C,gen_040,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2067,0.0,0.0,0.0,False,419.44
ds2_60gen,pair_161,Set C,gen_041,0.0,0.0,0.0,0.0,0,529.7,534.8,3.5,9.75,1,0.8139,999.0,999.0,999.0,False,481.36
ds2_60gen,pair_162,Set C,gen_042,0.0,0.0,0.0,0.0,0,529.7,534.8,3.5,9.75,1,0.8139,999.0,999.0,999.0,False,478.53
ds2_60gen,pair_163,Set C,gen_043,0.0,0.0,0.0,0.0,0,519.2,479.2,1.5,10.0,1,0.7108,999.0,999.0,999.0,False,419.45
ds2_60gen,pair_164,Set C,gen_044,0.0,0.0,0.0,0.0,0,519.2,479.2,1.5,10.0,1,0.7108,999.0,999.0,999.0,False,421.73
ds2_60gen,pair_165,Set C,gen_045,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2561,0.0,0.0,0.0,False,438.42
ds2_60gen,pair_166,Set C,gen_046,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2561,0.0,0.0,0.0,False,408.93
ds2_60gen,pair_167,Set C,gen_047,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4116,0.0,0.0,0.0,False,431.01
ds2_60gen,pair_168,Set C,gen_048,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4116,0.0,0.0,0.0,False,412.33
