pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,raw_ncc,prominence,runtime_ms
pair_014,Set A,gen_014,1,1,339.0,525.0,623.2,620.67,299.87,9.599,10.0,0.4,3.055,0.0,3.06,0.9991,1.0,0.6666,597.17
pair_015,Set A,gen_015,1,1,501.0,375.0,500.38,660.8,285.8,9.086,10.0,0.91,-3.699,0.0,3.7,0.9991,1.0,0.4403,623.66
pair_016,Set A,gen_016,1,1,314.0,496.0,884.42,496.8,570.42,9.583,10.0,0.42,-3.474,0.0,3.47,0.9991,1.0,0.5686,547.36
pair_017,Set A,gen_017,1,1,475.0,303.0,474.7,303.63,0.7,9.732,9.75,0.02,-4.517,-4.0,0.52,0.99,0.9863,0.7447,554.87
pair_018,Set A,gen_018,1,1,489.0,517.0,488.71,516.7,0.42,11.437,11.75,0.31,-4.138,-4.0,0.14,0.9916,0.9365,0.6544,526.73
pair_019,Set A,gen_019,1,1,453.0,515.0,453.3,514.8,0.36,10.857,11.0,0.14,0.7,1.0,0.3,0.9936,0.9478,0.617,529.1
pair_020,Set A,gen_020,1,1,479.0,331.0,478.7,330.97,0.3,8.081,8.0,0.08,-1.047,-1.0,0.05,0.9914,0.9552,0.557,536.17
pair_021,Set A,gen_021,1,1,479.0,482.0,479.8,482.53,0.96,9.068,9.25,0.18,0.115,0.0,0.12,0.9908,0.9634,0.7918,595.37
pair_022,Set A,gen_022,1,1,534.0,323.0,534.8,324.3,1.53,10.146,10.25,0.1,3.758,3.5,0.26,0.9977,0.9651,0.7246,557.68
pair_023,Set A,gen_023,1,1,513.0,482.0,513.3,481.62,0.48,8.637,8.75,0.11,3.763,3.5,0.26,0.9921,0.9369,0.4945,566.83
pair_024,Set A,gen_024,1,1,473.0,324.0,473.06,323.44,0.56,11.979,12.0,0.02,0.983,1.0,0.02,0.9899,0.9863,0.6839,416.36
pair_025,Set A,gen_025,1,1,484.0,537.0,482.7,538.3,1.84,9.678,9.75,0.07,-4.305,-4.0,0.3,0.9986,0.9955,0.4321,566.96
pair_026,Set A,gen_026,1,1,526.0,293.0,527.3,292.7,1.33,8.955,9.0,0.04,-0.249,0.0,0.25,0.9985,0.9723,0.3893,615.19
pair_027,Set A,gen_027,1,1,487.0,490.0,486.8,491.8,1.81,10.295,10.25,0.04,4.625,5.0,0.38,0.9959,0.9157,0.8242,577.18
pair_028,Set A,gen_028,1,1,515.0,292.0,514.2,292.76,1.1,8.782,8.75,0.03,-3.325,-3.5,0.17,0.9793,0.9876,1.0168,572.37
pair_029,Set A,gen_029,1,1,510.0,535.0,510.3,534.7,0.42,10.895,10.75,0.14,4.519,4.0,0.52,0.9931,0.9621,0.7538,516.91
pair_030,Set A,gen_030,1,1,492.0,349.0,491.2,348.54,0.92,10.402,10.25,0.15,-4.182,-4.0,0.18,0.9978,0.972,0.7307,516.56
pair_031,Set A,gen_031,1,1,521.0,537.0,520.99,537.8,0.8,9.782,10.0,0.22,0.506,1.0,0.49,0.9984,0.9629,0.5594,583.52
pair_032,Set A,gen_032,1,1,471.0,318.0,471.25,317.7,0.39,8.236,8.25,0.01,3.636,3.5,0.14,0.9902,0.9916,0.5506,566.88
pair_033,Set A,gen_033,1,1,467.0,481.0,466.2,480.7,0.85,8.364,8.25,0.11,-1.137,-1.5,0.36,0.9973,0.9756,0.4091,533.3
pair_034,Set A,gen_034,1,1,473.0,335.0,472.7,333.7,1.33,11.1,11.25,0.15,-3.576,-3.5,0.08,0.9987,0.981,0.3801,466.91
pair_035,Set A,gen_035,1,1,532.0,509.0,532.61,508.8,0.64,9.174,9.25,0.08,-1.932,-2.5,0.57,0.9985,0.973,0.6044,550.26
pair_036,Set A,gen_036,1,1,495.0,303.0,494.2,303.8,1.13,10.213,10.25,0.04,3.337,3.5,0.16,0.999,0.9951,0.6719,516.54
pair_037,Set A,gen_037,1,1,507.0,471.0,508.3,472.3,1.84,11.979,12.0,0.02,4.163,4.0,0.16,0.9986,0.9922,0.7941,483.25
pair_038,Set A,gen_038,1,1,462.0,330.0,462.3,331.3,1.33,11.59,11.75,0.16,4.42,4.0,0.42,0.9984,0.9578,0.7299,500.3
pair_039,Set A,gen_039,1,1,482.0,475.0,483.3,473.7,1.84,11.908,12.0,0.09,1.761,1.5,0.26,0.996,0.9455,0.8265,498.68
pair_040,Set A,gen_040,1,1,535.0,311.0,534.2,309.2,1.97,9.156,9.25,0.09,2.194,2.5,0.31,0.998,0.9657,0.7909,583.32
pair_041,Set A,gen_041,1,1,462.0,496.0,461.7,494.7,1.33,10.629,10.75,0.12,3.476,3.5,0.02,0.9975,0.9455,0.797,571.68
pair_042,Set A,gen_042,1,1,486.0,305.0,485.2,304.2,1.13,10.398,10.25,0.15,3.742,3.5,0.24,0.9981,0.9378,0.7676,539.1
pair_043,Set A,gen_043,1,1,537.0,494.0,536.7,493.7,0.42,11.632,11.75,0.12,-3.66,-3.5,0.16,0.9971,0.9577,0.8547,449.97
pair_044,Set A,gen_044,1,1,464.0,307.0,462.7,307.35,1.35,9.008,9.0,0.01,-1.395,-1.5,0.1,0.998,0.9923,0.8174,559.93
pair_045,Set A,gen_045,1,1,517.0,524.0,516.2,523.2,1.13,9.838,10.0,0.16,2.503,2.5,0.0,0.9986,0.9642,0.7709,583.28
pair_046,Set A,gen_046,1,1,517.0,325.0,516.7,324.7,0.42,11.038,11.0,0.04,-0.877,-1.0,0.12,0.9978,0.9933,0.8527,516.48
pair_047,Set A,gen_047,1,1,529.0,529.0,528.7,527.7,1.33,11.06,11.0,0.06,3.489,3.5,0.01,0.9924,0.945,0.708,500.06
pair_048,Set A,gen_048,1,1,494.0,287.0,493.2,286.23,1.11,10.243,10.25,0.01,4.507,4.0,0.51,0.9969,0.987,0.7672,533.05
pair_049,Set A,gen_049,1,1,476.0,478.0,476.3,478.3,0.42,10.475,10.75,0.28,-4.142,-4.0,0.14,0.9966,0.9513,0.7174,549.87
pair_050,Set A,gen_050,1,1,476.0,298.0,475.2,298.3,0.85,8.638,8.75,0.11,2.295,2.5,0.21,0.9943,0.9643,0.6663,566.94
pair_051,Set A,gen_051,1,1,475.0,479.0,474.2,479.51,0.95,10.459,10.25,0.21,1.336,1.5,0.16,0.9968,0.9544,0.7218,500.16
pair_052,Set A,gen_052,1,1,525.0,336.0,525.33,336.3,0.45,8.102,8.25,0.15,4.174,4.0,0.17,0.9903,0.9615,0.6404,514.88
pair_053,Set A,gen_053,1,1,538.0,461.0,537.2,460.2,1.13,8.601,8.75,0.15,-2.792,-2.5,0.29,0.9956,0.9463,0.7492,548.11
pair_054,Set A,gen_054,1,1,466.0,336.0,466.0,335.7,0.3,8.214,8.25,0.04,-4.393,-4.0,0.39,0.9957,0.9529,0.7051,516.42
pair_055,Set A,gen_055,1,1,526.0,479.0,524.3,478.55,1.76,9.311,9.25,0.06,1.258,1.0,0.26,0.9983,0.9073,0.8218,566.53
pair_056,Set A,gen_056,1,1,504.0,293.0,503.71,293.3,0.42,9.544,9.75,0.21,2.048,1.5,0.55,0.9985,0.9352,0.8692,550.04
pair_057,Set A,gen_057,1,1,481.0,468.0,482.24,467.64,1.29,10.072,10.25,0.18,-3.276,-3.5,0.22,0.9986,0.9662,0.6767,550.01
pair_058,Set A,gen_058,1,1,536.0,345.0,536.3,346.3,1.33,11.497,11.75,0.25,0.789,1.0,0.21,0.9977,0.9509,0.6157,476.88
pair_059,Set A,gen_059,1,1,477.0,485.0,477.3,484.96,0.3,10.716,10.75,0.03,-4.157,-4.0,0.16,0.9974,0.9909,0.8878,517.1
pair_060,Set A,gen_060,1,1,512.0,327.0,511.2,326.2,1.13,9.265,9.25,0.02,4.843,5.0,0.16,0.9978,0.9888,0.8541,516.4
pair_061,Set A,gen_001,1,1,676.0,317.0,675.7,318.3,1.33,10.852,11.0,0.15,2.393,2.5,0.11,0.9989,0.9848,0.186,500.12
pair_062,Set A,gen_002,1,1,687.0,369.0,688.3,367.7,1.84,11.051,11.25,0.2,3.903,4.0,0.1,0.9988,0.9642,0.4143,497.16
pair_063,Set A,gen_003,1,1,468.0,529.0,467.66,529.78,0.85,10.077,10.25,0.17,0.886,1.0,0.11,0.9982,0.9461,0.6157,567.49
pair_064,Set A,gen_004,1,1,357.0,654.0,355.7,653.08,1.59,11.313,11.25,0.06,-3.082,-3.5,0.42,0.9944,0.9059,0.464,433.1
pair_065,Set A,gen_005,1,1,501.0,460.0,501.7,460.8,1.06,9.332,9.25,0.08,-4.654,-5.0,0.35,0.9928,0.9045,0.6755,605.83
pair_066,Set A,gen_006,1,1,320.0,702.0,319.32,702.09,0.69,8.693,8.75,0.06,-3.058,-3.5,0.44,0.9925,0.9165,0.6927,529.4
pair_067,Set A,gen_007,1,1,520.0,469.0,519.2,469.3,0.85,9.769,10.0,0.23,4.247,4.0,0.25,0.9965,0.9494,0.4095,572.93
pair_068,Set A,gen_008,1,1,322.0,652.0,320.7,653.3,1.84,8.172,8.25,0.08,3.852,4.0,0.15,0.9955,0.9482,0.4283,566.08
pair_069,Set A,gen_009,1,1,438.0,464.0,438.24,463.2,0.84,10.308,10.25,0.06,-1.448,-2.5,1.05,0.9977,0.938,0.5724,526.11
pair_070,Set A,gen_010,1,1,387.0,569.0,387.3,568.7,0.42,8.195,8.25,0.05,4.584,5.0,0.42,0.9855,0.968,0.5043,533.73
pair_071,Set B,gen_011,1,1,493.0,510.0,493.33,507.67,2.35,9.11,10.75,1.64,-4.039,-3.5,0.54,0.9911,0.9433,0.4739,464.5
pair_072,Set B,gen_012,1,1,531.0,327.0,532.2,846.8,519.8,11.95,9.25,2.7,-3.171,-1.5,1.67,0.9583,0.8467,0.4624,534.93
pair_073,Set B,gen_013,1,1,497.0,709.0,186.3,521.11,363.09,10.311,9.0,1.31,-3.481,1.0,4.48,0.9962,0.9048,0.1464,583.44
pair_074,Set B,gen_014,1,1,322.0,462.0,409.7,140.16,333.57,11.56,9.0,2.56,3.369,-1.5,4.87,0.9217,0.8638,0.1176,566.43
pair_075,Set B,gen_015,1,1,474.0,389.0,480.2,647.21,258.28,8.026,11.75,3.72,-2.255,1.0,3.25,0.969,0.9281,0.1895,451.69
pair_076,Set B,gen_016,1,1,327.0,498.0,253.3,763.3,275.35,8.943,10.75,1.81,4.124,1.0,3.12,0.9975,0.9035,0.17,475.77
pair_077,Set B,gen_017,1,1,460.0,288.0,457.8,287.2,2.34,9.167,9.25,0.08,0.439,1.0,0.56,0.9294,0.7714,0.1721,630.05
pair_078,Set B,gen_018,1,1,487.0,533.0,484.7,537.25,4.83,9.264,8.25,1.01,-4.91,-5.0,0.09,0.9602,0.8476,0.2705,573.15
pair_079,Set B,gen_019,1,1,503.0,522.0,503.7,523.48,1.64,9.34,8.25,1.09,-4.19,-5.0,0.81,0.8371,0.7569,0.1245,602.73
pair_080,Set B,gen_020,1,1,489.0,285.0,489.7,316.7,31.71,11.535,12.0,0.46,-3.206,-1.0,2.21,0.7317,0.8261,0.3443,420.61
pair_081,Set B,gen_021,1,1,494.0,525.0,495.8,527.8,3.33,9.155,8.75,0.4,-3.086,-2.5,0.59,0.9935,0.9309,0.5963,663.44
pair_082,Set B,gen_022,1,1,495.0,309.0,495.0,330.7,21.7,9.462,10.75,1.29,0.432,1.0,0.57,0.9948,0.9775,0.7412,510.41
pair_083,Set B,gen_023,1,1,526.0,503.0,521.89,502.3,4.17,11.99,12.0,0.01,-3.508,1.0,4.51,0.9147,0.8162,0.2125,498.87
pair_084,Set B,gen_024,1,1,487.0,295.0,486.19,283.3,11.73,10.161,9.75,0.41,-2.622,-5.0,2.38,0.7821,0.761,0.0794,625.43
pair_085,Set B,gen_025,1,1,474.0,537.0,472.3,540.7,4.07,9.19,8.25,0.94,3.517,4.0,0.48,0.9971,0.9281,0.1662,531.95
pair_086,Set B,gen_026,1,1,461.0,305.0,459.7,305.3,1.33,10.877,11.0,0.12,2.867,2.5,0.37,0.9982,0.9726,0.3739,565.71
pair_087,Set B,gen_027,1,1,467.0,514.0,466.06,513.7,0.99,11.723,11.75,0.03,2.22,2.5,0.28,0.9943,0.954,0.8812,511.49
pair_088,Set B,gen_028,1,1,530.0,338.0,536.8,315.39,23.61,10.697,9.25,1.45,-0.649,-1.0,0.35,0.9953,0.9422,0.8771,634.68
pair_089,Set B,gen_029,1,1,478.0,474.0,480.3,476.3,3.25,10.454,11.25,0.8,-4.55,-4.0,0.55,0.9833,0.9775,0.7887,484.48
pair_090,Set B,gen_030,1,1,471.0,314.0,468.3,290.7,23.46,8.4,8.0,0.4,4.778,5.0,0.22,0.9056,0.8755,0.3856,543.65
pair_091,Set B,gen_031,1,1,509.0,464.0,512.3,459.27,5.77,9.032,8.25,0.78,3.603,5.0,1.4,0.9871,0.8255,0.0806,584.2
pair_092,Set B,gen_032,1,1,509.0,299.0,509.3,299.21,0.37,11.245,11.25,0.01,2.428,2.5,0.07,0.9816,0.9343,0.3882,534.95
pair_093,Set B,gen_033,1,1,497.0,468.0,494.7,460.7,7.65,9.062,8.0,1.06,3.084,3.5,0.42,0.9963,0.9073,0.0869,570.84
pair_094,Set B,gen_034,1,1,516.0,338.0,511.7,369.3,31.59,8.487,10.75,2.26,-0.376,-1.0,0.62,0.998,0.964,0.4107,481.91
pair_095,Set B,gen_035,1,1,467.0,475.0,608.3,524.3,149.65,11.897,12.0,0.1,4.302,1.0,3.3,0.9979,0.9317,0.6241,432.74
pair_096,Set B,gen_036,1,1,524.0,285.0,519.72,313.5,28.82,9.228,10.75,1.52,-3.802,-4.0,0.2,0.9683,0.8805,0.4663,434.25
pair_097,Set B,gen_037,1,1,510.0,471.0,508.71,474.8,4.01,9.326,10.25,0.92,0.69,-1.0,1.69,0.9971,0.8987,0.5238,513.81
pair_098,Set B,gen_038,1,1,473.0,339.0,468.2,315.2,24.28,10.62,9.25,1.37,-4.413,-3.5,0.91,0.9984,0.954,0.5646,596.99
pair_099,Set B,gen_039,1,1,468.0,505.0,471.2,504.01,3.35,8.747,9.75,1.0,0.221,-2.5,2.72,0.8917,0.6861,0.1623,577.69
pair_100,Set B,gen_040,1,1,505.0,345.0,507.8,335.8,9.62,11.178,10.25,0.93,-2.425,-1.5,0.92,0.8096,0.6838,0.1913,597.06
pair_101,Set B,gen_041,1,1,507.0,502.0,507.7,500.7,1.48,8.993,8.25,0.74,1.639,1.5,0.14,0.993,0.9202,0.5659,558.62
pair_102,Set B,gen_042,1,1,535.0,294.0,530.3,324.7,31.06,9.614,11.0,1.39,-0.804,-1.0,0.2,0.983,0.8846,0.727,444.16
pair_103,Set B,gen_043,1,1,496.0,534.0,494.7,529.3,4.88,10.554,12.0,1.45,-1.19,-2.5,1.31,0.9265,0.9272,0.8204,436.18
pair_104,Set B,gen_044,1,1,523.0,275.0,527.8,239.8,35.53,9.993,8.75,1.24,0.773,2.5,1.73,0.9953,0.9265,0.6435,549.3
pair_105,Set B,gen_045,1,1,495.0,477.0,492.7,473.7,4.02,9.053,8.25,0.8,3.546,2.5,1.05,0.9852,0.8195,0.3591,566.55
pair_106,Set B,gen_046,1,1,508.0,299.0,504.19,338.21,39.39,11.458,8.25,3.21,4.157,2.5,1.66,0.6802,0.5941,0.0991,449.7
pair_107,Set B,gen_047,1,1,513.0,519.0,515.18,522.3,3.96,11.514,10.75,0.76,-3.513,-3.5,0.01,0.994,0.9065,0.5619,576.8
pair_108,Set B,gen_048,1,1,511.0,275.0,512.7,241.7,33.34,8.942,8.0,0.94,1.32,1.5,0.18,0.8479,0.8809,0.3844,514.96
pair_109,Set B,gen_049,1,1,537.0,534.0,532.2,530.8,5.77,9.096,10.25,1.15,-1.936,-1.5,0.44,0.9974,0.948,0.6629,553.51
pair_110,Set B,gen_050,1,1,522.0,285.0,523.8,283.2,2.55,9.173,9.25,0.08,4.503,4.0,0.5,0.9564,0.8715,0.4685,588.1
pair_111,Set B,gen_051,1,1,473.0,489.0,475.3,490.3,2.64,8.963,9.75,0.79,3.342,3.5,0.16,0.9963,0.9591,0.6479,602.62
pair_112,Set B,gen_052,1,1,519.0,293.0,516.3,311.3,18.5,10.765,11.75,0.98,1.163,-1.0,2.16,0.8763,0.7123,0.2161,456.62
pair_113,Set B,gen_053,1,1,523.0,522.0,523.2,524.8,2.81,10.813,10.25,0.56,3.244,3.5,0.26,0.9816,0.8164,0.3826,554.87
pair_114,Set B,gen_054,1,1,532.0,324.0,534.8,309.8,14.47,11.037,10.25,0.79,-0.964,-1.0,0.04,0.9978,0.9525,0.773,614.95
pair_115,Set B,gen_055,1,1,537.0,465.0,536.2,465.8,1.13,10.295,10.25,0.04,-1.886,-1.5,0.39,0.997,0.8312,0.6383,551.13
pair_116,Set B,gen_056,1,1,508.0,326.0,512.7,292.7,33.63,9.196,8.0,1.2,-2.405,-1.5,0.9,0.9857,0.5723,0.072,510.92
pair_117,Set B,gen_057,1,1,537.0,462.0,538.7,458.7,3.71,9.646,9.0,0.65,0.505,1.0,0.49,0.9981,0.9589,0.5564,603.58
pair_118,Set B,gen_058,1,1,522.0,324.0,525.3,308.3,16.04,8.563,8.0,0.56,0.062,1.0,0.94,0.9757,0.8813,0.336,543.33
pair_119,Set B,gen_059,1,1,525.0,502.0,525.3,500.7,1.33,8.912,9.0,0.09,-2.052,-1.5,0.55,0.9966,0.9501,0.7371,608.18
pair_120,Set B,gen_060,1,1,482.0,335.0,483.7,359.7,24.76,10.218,12.0,1.78,1.237,2.5,1.26,0.9707,0.9048,0.616,416.56
pair_121,Set B,gen_001,1,1,632.0,353.0,643.3,339.7,17.45,10.892,9.75,1.14,4.818,4.0,0.82,0.9974,0.8611,0.0963,566.69
pair_122,Set B,gen_002,1,1,630.0,374.0,611.8,392.2,25.74,8.879,10.25,1.37,-4.12,-4.0,0.12,0.9987,0.9455,0.2479,538.32
pair_123,Set B,gen_003,1,1,515.0,486.0,515.91,485.73,0.95,11.459,11.75,0.29,4.612,5.0,0.39,0.9964,0.9185,0.466,503.46
pair_124,Set B,gen_004,1,1,319.0,619.0,310.3,625.7,10.98,10.593,9.75,0.84,-2.102,-1.5,0.6,0.9849,0.7925,0.1245,549.88
pair_125,Set B,gen_005,1,1,506.0,527.0,507.11,527.3,1.15,8.485,8.25,0.23,1.108,1.5,0.39,0.9809,0.8655,0.5202,565.12
pair_126,Set B,gen_006,1,1,320.0,694.0,295.8,721.8,36.86,9.76,8.75,1.01,-3.066,-2.5,0.57,0.9904,0.8774,0.521,525.48
pair_127,Set B,gen_007,1,1,529.0,516.0,530.7,519.3,3.71,9.258,8.25,1.01,-1.802,-1.5,0.3,0.9774,0.8561,0.0729,501.11
pair_128,Set B,gen_008,1,1,322.0,664.0,309.15,674.7,16.72,11.313,10.75,0.56,1.795,1.0,0.79,0.9965,0.939,0.2535,533.29
pair_129,Set B,gen_009,1,1,424.0,496.0,431.3,494.97,7.37,9.781,10.75,0.97,-2.9,-3.5,0.6,0.9553,0.921,0.5192,453.82
pair_130,Set B,gen_010,1,1,422.0,556.0,421.2,555.2,1.13,8.653,8.75,0.1,-3.047,-2.5,0.55,0.9054,0.8846,0.2716,566.19
pair_131,Set B,gen_011,1,1,518.0,494.0,516.7,494.3,1.33,11.598,11.75,0.15,-2.377,-2.5,0.12,0.9932,0.9097,0.5355,518.06
pair_132,Set B,gen_012,1,1,476.0,344.0,287.0,139.3,278.61,8.078,9.0,0.92,3.944,1.0,2.94,0.9804,0.9549,0.5303,531.88
pair_133,Set B,gen_013,1,1,485.0,716.0,483.0,754.8,38.85,10.355,8.75,1.61,2.456,1.5,0.96,0.9885,0.8954,0.1438,525.01
pair_134,Set B,gen_014,1,1,286.0,460.0,310.3,463.7,24.58,10.79,12.0,1.21,4.681,5.0,0.32,0.9879,0.9544,0.3611,433.39
pair_135,Set B,gen_015,1,1,538.0,441.0,531.7,701.7,260.78,11.644,10.75,0.89,-4.587,-1.0,3.59,0.9913,0.8595,0.1227,498.78
pair_136,Set B,gen_016,1,1,334.0,492.0,743.22,598.2,422.78,9.992,8.75,1.24,-2.702,1.0,3.7,0.9944,0.937,0.2511,515.53
pair_137,Set B,gen_017,1,1,508.0,304.0,508.18,325.65,21.65,8.081,9.0,0.92,-2.388,-2.5,0.11,0.9633,0.7735,0.1554,552.31
pair_138,Set B,gen_018,1,1,471.0,539.0,470.91,535.7,3.3,11.161,11.25,0.09,1.366,1.0,0.37,0.9026,0.7332,0.1396,424.09
pair_139,Set B,gen_019,1,1,460.0,514.0,460.2,512.2,1.81,8.676,9.25,0.57,2.527,2.5,0.03,0.9918,0.8568,0.2771,582.6
pair_140,Set B,gen_020,1,1,501.0,307.0,501.73,288.82,18.19,9.258,8.75,0.51,-1.847,-1.0,0.85,0.9905,0.9129,0.4048,553.33
pair_141,Set C,gen_021,0,1,0.0,0.0,504.92,502.84,999.0,0.0,8.0,999.0,0.0,-1.0,999.0,0.6484,0.596,0.1156,466.96
pair_142,Set C,gen_022,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369,0.6088,0.1317,454.59
pair_143,Set C,gen_023,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1107,0.5937,0.1286,403.7
pair_144,Set C,gen_024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1107,0.5937,0.1286,378.75
pair_145,Set C,gen_025,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0933,0.5783,0.0953,500.04
pair_146,Set C,gen_026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0933,0.5783,0.0953,450.11
pair_147,Set C,gen_027,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4405,0.5621,0.1274,421.17
pair_148,Set C,gen_028,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4405,0.5621,0.1274,433.34
pair_149,Set C,gen_029,0,1,0.0,0.0,499.8,500.8,999.0,0.0,8.75,999.0,0.0,5.0,999.0,0.9466,0.6507,0.1581,545.14
pair_150,Set C,gen_030,0,1,0.0,0.0,499.8,500.8,999.0,0.0,8.75,999.0,0.0,5.0,999.0,0.9466,0.6507,0.1581,550.12
pair_151,Set C,gen_031,0,1,0.0,0.0,508.02,524.25,999.0,0.0,12.0,999.0,0.0,-2.5,999.0,0.5204,0.5859,0.1079,469.57
pair_152,Set C,gen_032,0,1,0.0,0.0,508.12,525.3,999.0,0.0,12.0,999.0,0.0,-2.5,999.0,0.5157,0.5855,0.1073,433.27
pair_153,Set C,gen_033,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022,0.6364,0.1046,499.5
pair_154,Set C,gen_034,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022,0.6364,0.1046,505.18
pair_155,Set C,gen_035,0,1,0.0,0.0,518.3,511.15,999.0,0.0,12.0,999.0,0.0,-2.5,999.0,0.9766,0.6669,0.2913,426.23
pair_156,Set C,gen_036,0,1,0.0,0.0,518.3,511.15,999.0,0.0,12.0,999.0,0.0,-2.5,999.0,0.9766,0.6669,0.2913,410.96
pair_157,Set C,gen_037,0,1,0.0,0.0,495.7,503.3,999.0,0.0,11.25,999.0,0.0,-3.5,999.0,0.8146,0.5695,0.1006,415.25
pair_158,Set C,gen_038,0,1,0.0,0.0,495.7,503.3,999.0,0.0,11.25,999.0,0.0,-3.5,999.0,0.8146,0.5695,0.1006,430.82
pair_159,Set C,gen_039,0,1,0.0,0.0,503.7,504.78,999.0,0.0,11.75,999.0,0.0,-5.0,999.0,0.7354,0.6128,0.1613,437.51
pair_160,Set C,gen_040,0,1,0.0,0.0,503.7,504.78,999.0,0.0,11.75,999.0,0.0,-5.0,999.0,0.7354,0.6128,0.1613,450.07
pair_161,Set C,gen_041,0,1,0.0,0.0,490.7,498.7,999.0,0.0,9.0,999.0,0.0,-1.0,999.0,0.6334,0.6227,0.195,484.29
pair_162,Set C,gen_042,0,1,0.0,0.0,490.7,498.7,999.0,0.0,9.0,999.0,0.0,-1.0,999.0,0.6334,0.6227,0.195,483.89
pair_163,Set C,gen_043,0,1,0.0,0.0,448.67,529.3,999.0,0.0,12.0,999.0,0.0,1.0,999.0,0.8377,0.5934,0.1362,457.87
pair_164,Set C,gen_044,0,1,0.0,0.0,448.67,529.3,999.0,0.0,12.0,999.0,0.0,1.0,999.0,0.8377,0.5934,0.1362,445.62
pair_165,Set C,gen_045,0,1,0.0,0.0,500.7,502.7,999.0,0.0,11.75,999.0,0.0,-4.0,999.0,0.5417,0.597,0.0758,436.11
pair_166,Set C,gen_046,0,1,0.0,0.0,500.7,502.7,999.0,0.0,11.75,999.0,0.0,-4.0,999.0,0.5417,0.597,0.0758,434.8
pair_167,Set C,gen_047,0,1,0.0,0.0,504.72,492.7,999.0,0.0,11.0,999.0,0.0,-2.5,999.0,0.6023,0.5558,0.0852,500.14
pair_168,Set C,gen_048,0,1,0.0,0.0,504.72,492.7,999.0,0.0,11.0,999.0,0.0,-2.5,999.0,0.6023,0.5558,0.0852,535.27
pair_169,Set C,gen_049,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4959,0.5944,0.1451,516.77
