pair_id,set,gen_id,gt_found,base_pred_found,exp19_pred_found,gt_x,gt_y,base_pred_x,base_pred_y,exp19_pred_x,exp19_pred_y,base_loc_err,exp19_loc_err,is_triggered,base_score,exp19_score,runtime_ms
pair_013,Set A,gen_013,1,1,1,479.0,703.0,763.2,418.7,763.2,418.7,401.9902113236093,401.9902113236093,False,0.9991,0.9991,551.11
pair_014,Set A,gen_014,1,1,1,339.0,525.0,623.2,620.67,623.2,620.67,299.8706202681417,299.8706202681417,False,0.9991,0.9991,604.15
pair_015,Set A,gen_015,1,1,1,501.0,375.0,500.38,660.8,501.46,660.8,285.80067249745923,285.8003701887035,True,0.9991,0.9991,367.92
pair_016,Set A,gen_016,1,1,1,314.0,496.0,884.42,496.8,884.42,496.8,570.4205609898717,570.4205609898717,False,0.9991,0.9991,599.82
pair_017,Set A,gen_017,1,1,1,475.0,303.0,474.7,303.63,474.7,303.63,0.6977822009767812,0.6977822009767812,False,0.9989,0.9989,533.71
pair_018,Set A,gen_018,1,1,1,489.0,517.0,488.71,516.7,488.71,516.7,0.4172529209004828,0.4172529209004828,False,0.9984,0.9984,466.07
pair_019,Set A,gen_019,1,1,1,453.0,515.0,453.3,514.8,453.3,514.8,0.3605551275464336,0.3605551275464336,False,0.9986,0.9986,500.34
pair_020,Set A,gen_020,1,1,1,479.0,331.0,478.7,330.97,478.7,330.97,0.3014962686336353,0.3014962686336353,True,0.9984,0.9984,331.84
pair_021,Set A,gen_021,1,1,1,479.0,482.0,479.8,482.53,479.8,482.53,0.9596353474106658,0.9596353474106658,False,0.9987,0.9987,583.04
pair_022,Set A,gen_022,1,1,1,534.0,323.0,534.8,324.3,534.8,324.3,1.5264337522473606,1.5264337522473606,False,0.9988,0.9988,484.39
pair_023,Set A,gen_023,1,1,1,513.0,482.0,513.3,481.62,513.21,481.76,0.48414873747637643,0.31890437438207025,True,0.9986,0.9986,316.96
pair_024,Set A,gen_024,1,1,1,473.0,324.0,473.06,323.44,473.06,323.44,0.5632051136131514,0.5632051136131514,True,0.9989,0.9989,281.58
pair_025,Set A,gen_025,1,1,1,484.0,537.0,482.7,538.3,482.7,538.3,1.8384776310849993,1.8384776310849993,True,0.999,0.999,350.86
pair_026,Set A,gen_026,1,1,1,526.0,293.0,527.3,292.7,527.3,292.7,1.3341664064125915,1.3341664064125915,False,0.9988,0.9988,583.5
pair_027,Set A,gen_027,1,1,1,487.0,490.0,486.8,491.8,486.8,491.8,1.8110770276274935,1.8110770276274935,False,0.9984,0.9984,554.28
pair_028,Set A,gen_028,1,1,1,515.0,292.0,514.2,292.76,514.2,292.76,1.1034491379306586,1.1034491379306586,False,0.9989,0.9989,567.08
pair_029,Set A,gen_029,1,1,1,510.0,535.0,510.3,534.7,510.3,534.7,0.4242640687119044,0.4242640687119044,False,0.9985,0.9985,533.13
pair_030,Set A,gen_030,1,1,1,492.0,349.0,491.2,348.54,491.2,348.54,0.9228217596047459,0.9228217596047459,False,0.9988,0.9988,535.29
pair_031,Set A,gen_031,1,1,1,521.0,537.0,520.99,537.8,520.99,537.8,0.8000624975587389,0.8000624975587389,False,0.9988,0.9988,533.49
pair_032,Set A,gen_032,1,1,1,471.0,318.0,471.25,317.7,471.25,317.7,0.3905124837953415,0.3905124837953415,True,0.9988,0.9988,398.12
pair_033,Set A,gen_033,1,1,1,467.0,481.0,466.2,480.7,466.2,480.7,0.8544003745317678,0.8544003745317678,True,0.9988,0.9988,415.77
pair_034,Set A,gen_034,1,1,1,473.0,335.0,472.7,333.7,472.7,333.7,1.334166406412647,1.334166406412647,True,0.9988,0.9988,318.62
pair_035,Set A,gen_035,1,1,1,532.0,509.0,532.61,508.8,532.61,508.8,0.6419501538281708,0.6419501538281708,False,0.9989,0.9989,549.6
pair_036,Set A,gen_036,1,1,1,495.0,303.0,494.2,303.8,495.29,303.8,1.1313708498984922,0.85094065598021,True,0.999,0.999,533.69
pair_037,Set A,gen_037,1,1,1,507.0,471.0,508.3,472.3,508.3,472.3,1.8384776310850397,1.8384776310850397,False,0.9987,0.9987,447.56
pair_038,Set A,gen_038,1,1,1,462.0,330.0,462.3,331.3,462.3,331.3,1.334166406412647,1.334166406412647,False,0.9987,0.9987,483.47
pair_039,Set A,gen_039,1,1,1,482.0,475.0,483.3,473.7,483.3,473.7,1.8384776310850397,1.8384776310850397,False,0.9986,0.9986,495.86
pair_040,Set A,gen_040,1,1,1,535.0,311.0,534.2,309.2,534.2,309.2,1.969771560359213,1.969771560359213,False,0.9988,0.9988,562.89
pair_041,Set A,gen_041,1,1,1,462.0,496.0,461.7,494.7,461.7,494.7,1.334166406412647,1.334166406412647,False,0.9987,0.9987,551.97
pair_042,Set A,gen_042,1,1,1,486.0,305.0,485.2,304.2,485.2,304.2,1.1313708498984922,1.1313708498984922,True,0.9986,0.9986,489.87
pair_043,Set A,gen_043,1,1,1,537.0,494.0,536.7,493.7,536.7,493.7,0.4242640687119044,0.4242640687119044,False,0.9986,0.9986,452.27
pair_044,Set A,gen_044,1,1,1,464.0,307.0,462.7,307.35,462.7,307.35,1.3462912017836428,1.3462912017836428,True,0.999,0.999,500.96
pair_045,Set A,gen_045,1,1,1,517.0,524.0,516.2,523.2,516.2,523.2,1.1313708498984119,1.1313708498984119,False,0.9988,0.9988,613.61
pair_046,Set A,gen_046,1,1,1,517.0,325.0,516.7,324.7,516.7,324.7,0.4242640687119044,0.4242640687119044,False,0.999,0.999,518.57
pair_047,Set A,gen_047,1,1,1,529.0,529.0,528.7,527.7,528.7,527.7,1.3341664064125789,1.3341664064125789,False,0.9986,0.9986,541.39
pair_048,Set A,gen_048,1,1,1,494.0,287.0,493.2,286.23,493.2,286.2,1.1103603018840282,1.1313708498984922,True,0.9989,0.9989,494.34
pair_049,Set A,gen_049,1,1,1,476.0,478.0,476.3,478.3,476.3,478.3,0.4242640687119446,0.4242640687119446,False,0.9983,0.9983,517.08
pair_050,Set A,gen_050,1,1,1,476.0,298.0,475.2,298.3,475.2,298.3,0.8544003745317678,0.8544003745317678,False,0.9988,0.9988,591.06
pair_051,Set A,gen_051,1,1,1,475.0,479.0,474.2,479.51,474.2,479.51,0.948736001214252,0.948736001214252,False,0.9987,0.9987,526.7
pair_052,Set A,gen_052,1,1,1,525.0,336.0,525.33,336.3,525.33,336.3,0.4459820624195931,0.4459820624195931,False,0.9986,0.9986,531.36
pair_053,Set A,gen_053,1,1,1,538.0,461.0,537.2,460.2,537.2,460.2,1.131370849898452,1.131370849898452,False,0.9986,0.9986,552.76
pair_054,Set A,gen_054,1,1,1,466.0,336.0,466.0,335.7,466.0,335.7,0.30000000000001137,0.30000000000001137,False,0.9986,0.9986,517.62
pair_055,Set A,gen_055,1,1,1,526.0,479.0,524.3,478.55,524.3,478.55,1.7585505395069385,1.7585505395069385,False,0.9983,0.9983,561.63
pair_056,Set A,gen_056,1,1,1,504.0,293.0,503.71,293.3,503.71,293.3,0.4172529209005237,0.4172529209005237,False,0.9986,0.9986,547.59
pair_057,Set A,gen_057,1,1,1,481.0,468.0,482.24,467.64,482.24,467.64,1.2912009913255302,1.2912009913255302,False,0.9987,0.9987,564.32
pair_058,Set A,gen_058,1,1,1,536.0,345.0,536.3,346.3,536.3,346.3,1.3341664064126342,1.3341664064126342,False,0.9985,0.9985,483.49
pair_059,Set A,gen_059,1,1,1,477.0,485.0,477.3,484.96,477.3,484.96,0.3026549190084451,0.3026549190084451,False,0.9989,0.9989,548.78
pair_060,Set A,gen_060,1,1,1,512.0,327.0,511.2,326.2,511.2,326.2,1.1313708498984922,1.1313708498984922,False,0.999,0.999,536.86
pair_061,Set A,gen_001,1,1,1,676.0,317.0,675.7,318.3,675.7,318.29,1.3341664064126342,1.3244244032786565,True,0.9989,0.9989,357.38
pair_062,Set A,gen_002,1,1,1,687.0,369.0,688.3,367.7,688.3,367.7,1.8384776310849993,1.8384776310849993,True,0.9988,0.9988,348.95
pair_063,Set A,gen_003,1,1,1,468.0,529.0,467.66,529.78,467.66,529.78,0.8508818954472709,0.8508818954472709,False,0.9987,0.9987,597.81
pair_064,Set A,gen_004,1,1,1,357.0,654.0,355.7,653.08,355.7,653.08,1.592607924129462,1.592607924129462,False,0.9982,0.9982,448.85
pair_065,Set A,gen_005,1,1,1,501.0,460.0,501.7,460.8,501.7,460.8,1.063014581273466,1.063014581273466,False,0.9982,0.9982,533.82
pair_066,Set A,gen_006,1,1,1,320.0,702.0,319.32,702.09,319.32,702.09,0.6859300255857116,0.6859300255857116,False,0.9978,0.9978,550.07
pair_067,Set A,gen_007,1,1,1,520.0,469.0,519.2,469.3,519.2,469.3,0.8544003745317146,0.8544003745317146,True,0.9986,0.9986,351.68
pair_068,Set A,gen_008,1,1,1,322.0,652.0,320.7,653.3,320.7,653.3,1.8384776310849993,1.8384776310849993,True,0.9986,0.9986,436.04
pair_069,Set A,gen_009,1,1,1,438.0,464.0,438.24,463.2,438.24,463.2,0.8352245207128575,0.8352245207128575,False,0.9986,0.9986,514.59
pair_070,Set A,gen_010,1,1,1,387.0,569.0,387.3,568.7,387.3,568.7,0.4242640687119044,0.4242640687119044,False,0.9985,0.9985,567.31
pair_071,Set B,gen_011,1,1,1,493.0,510.0,493.33,507.67,493.33,507.67,2.353253067564115,2.353253067564115,False,0.9986,0.9986,435.15
pair_072,Set B,gen_012,1,1,1,531.0,327.0,532.2,846.8,532.2,846.8,519.8013851462883,519.8013851462883,False,0.9936,0.9936,533.46
pair_073,Set B,gen_013,1,1,1,497.0,709.0,186.3,521.11,79.7,520.7,363.09384751053,457.8167537345046,True,0.9978,0.9975,600.49
pair_074,Set B,gen_014,1,1,1,322.0,462.0,409.7,140.16,409.7,140.16,333.57499246796067,333.57499246796067,True,0.9803,0.9803,434.1
pair_075,Set B,gen_015,1,1,1,474.0,389.0,480.2,647.21,480.3,407.3,258.2844248110985,19.35406933954719,True,0.9983,0.9985,383.52
pair_076,Set B,gen_016,1,1,1,327.0,498.0,253.3,763.3,253.3,763.3,275.3466542378897,275.3466542378897,True,0.9982,0.9982,460.26
pair_077,Set B,gen_017,1,1,1,460.0,288.0,457.8,287.2,457.8,287.2,2.3409399821439183,2.3409399821439183,True,0.9939,0.9939,331.02
pair_078,Set B,gen_018,1,1,1,487.0,533.0,484.7,537.25,484.7,537.25,4.8324424466309015,4.8324424466309015,False,0.9973,0.9973,545.34
pair_079,Set B,gen_019,1,1,1,503.0,522.0,503.7,523.48,503.7,523.48,1.6371927192606366,1.6371927192606366,True,0.9911,0.9911,324.68
pair_080,Set B,gen_020,1,1,1,489.0,285.0,489.7,316.7,489.7,318.3,31.70772776469483,33.307356544763515,True,0.9969,0.9968,279.99
pair_081,Set B,gen_021,1,1,1,494.0,525.0,495.8,527.8,495.8,527.8,3.3286633954186153,3.3286633954186153,False,0.9985,0.9985,602.41
pair_082,Set B,gen_022,1,1,1,495.0,309.0,495.0,330.7,495.0,330.7,21.69999999999999,21.69999999999999,False,0.9988,0.9988,521.99
pair_083,Set B,gen_023,1,1,1,526.0,503.0,521.89,502.3,521.91,502.28,4.16918457255134,4.152890559598254,True,0.996,0.9958,282.05
pair_084,Set B,gen_024,1,1,1,487.0,295.0,486.19,283.3,486.19,283.3,11.728004945428687,11.728004945428687,True,0.995,0.995,344.72
pair_085,Set B,gen_025,1,1,1,474.0,537.0,472.3,540.7,472.3,540.7,4.071854614300503,4.071854614300503,True,0.9983,0.9983,333.23
pair_086,Set B,gen_026,1,1,1,461.0,305.0,459.7,305.3,459.7,305.3,1.334166406412647,1.334166406412647,False,0.9988,0.9988,518.11
pair_087,Set B,gen_027,1,1,1,467.0,514.0,466.06,513.7,466.06,513.7,0.9867117106835048,0.9867117106835048,False,0.9987,0.9987,481.46
pair_088,Set B,gen_028,1,1,1,530.0,338.0,536.8,315.39,536.8,315.39,23.610423545544453,23.610423545544453,False,0.9986,0.9986,584.03
pair_089,Set B,gen_029,1,1,1,478.0,474.0,480.3,476.3,480.3,476.3,3.252691193458135,3.252691193458135,True,0.9988,0.9988,382.13
pair_090,Set B,gen_030,1,1,1,471.0,314.0,468.3,290.7,468.3,290.7,23.45591609807642,23.45591609807642,False,0.9973,0.9973,537.51
pair_091,Set B,gen_031,1,1,1,509.0,464.0,512.3,459.27,512.3,459.27,5.767399760724054,5.767399760724054,True,0.9955,0.9955,330.48
pair_092,Set B,gen_032,1,1,1,509.0,299.0,509.3,299.21,509.3,299.21,0.36619666847200866,0.36619666847200866,False,0.9985,0.9985,518.7
pair_093,Set B,gen_033,1,1,1,497.0,468.0,494.7,460.7,494.7,460.7,7.653757247260995,7.653757247260995,True,0.998,0.998,290.16
pair_094,Set B,gen_034,1,1,1,516.0,338.0,511.7,369.3,511.7,369.3,31.59398676963705,31.59398676963705,True,0.9988,0.9988,306.02
pair_095,Set B,gen_035,1,1,1,467.0,475.0,608.3,524.3,608.3,524.3,149.65353320252743,149.65353320252743,False,0.9985,0.9985,415.3
pair_096,Set B,gen_036,1,1,1,524.0,285.0,519.72,313.5,518.7,313.45,28.81958361947653,28.9394626764216,True,0.9974,0.9974,500.7
pair_097,Set B,gen_037,1,1,1,510.0,471.0,508.71,474.8,508.71,474.8,4.012991402931252,4.012991402931252,True,0.9982,0.9982,484.06
pair_098,Set B,gen_038,1,1,1,473.0,339.0,468.2,315.2,468.2,315.2,24.27920921282241,24.27920921282241,True,0.9987,0.9987,431.47
pair_099,Set B,gen_039,1,1,1,468.0,505.0,471.2,504.01,471.2,504.01,3.349641771891428,3.349641771891428,True,0.9905,0.9905,332.35
pair_100,Set B,gen_040,1,1,1,505.0,345.0,507.8,335.8,507.8,335.8,9.616652224137038,9.616652224137038,True,0.9921,0.9921,333.51
pair_101,Set B,gen_041,1,1,1,507.0,502.0,507.7,500.7,507.7,500.7,1.4764823060233445,1.4764823060233445,False,0.9982,0.9982,497.96
pair_102,Set B,gen_042,1,1,1,535.0,294.0,530.3,324.7,530.3,324.7,31.057688259109042,31.057688259109042,True,0.9981,0.9981,407.53
pair_103,Set B,gen_043,1,1,1,496.0,534.0,494.7,529.3,497.3,529.3,4.87647413609469,4.87647413609469,True,0.9984,0.9986,418.22
pair_104,Set B,gen_044,1,1,1,523.0,275.0,527.8,239.8,527.8,239.8,35.52576529787921,35.52576529787921,False,0.9984,0.9984,522.71
pair_105,Set B,gen_045,1,1,1,495.0,477.0,492.7,473.7,492.7,473.7,4.022437072223769,4.022437072223769,False,0.9964,0.9964,536.44
pair_106,Set B,gen_046,1,1,1,508.0,299.0,504.19,338.21,504.19,338.21,39.39467222861485,39.39467222861485,True,0.978,0.978,448.17
pair_107,Set B,gen_047,1,1,1,513.0,519.0,515.18,522.3,515.18,522.3,3.955047408059666,3.955047408059666,False,0.9981,0.9981,601.28
pair_108,Set B,gen_048,1,1,1,511.0,275.0,512.7,241.7,512.7,241.7,33.34336515710436,33.34336515710436,True,0.9974,0.9974,517.17
pair_109,Set B,gen_049,1,1,1,537.0,534.0,532.2,530.8,532.2,530.8,5.76888204074237,5.76888204074237,False,0.9987,0.9987,518.59
pair_110,Set B,gen_050,1,1,1,522.0,285.0,523.8,283.2,523.8,283.2,2.545584412271547,2.545584412271547,True,0.9978,0.9978,568.01
pair_111,Set B,gen_051,1,1,1,473.0,489.0,475.3,490.3,475.3,490.3,2.641968962724597,2.641968962724597,True,0.9987,0.9987,548.31
pair_112,Set B,gen_052,1,1,1,519.0,293.0,516.3,311.3,516.3,311.3,18.498108011361612,18.498108011361612,True,0.991,0.991,363.46
pair_113,Set B,gen_053,1,1,1,523.0,522.0,523.2,524.8,523.2,524.8,2.8071337695235976,2.8071337695235976,True,0.9968,0.9968,557.24
pair_114,Set B,gen_054,1,1,1,532.0,324.0,534.8,309.8,534.8,309.8,14.473423921104482,14.473423921104482,False,0.989,0.989,596.91
pair_115,Set B,gen_055,1,1,1,537.0,465.0,536.2,465.8,536.2,465.8,1.131370849898452,1.131370849898452,True,0.9973,0.9973,516.41
pair_116,Set B,gen_056,1,1,1,508.0,326.0,512.7,292.7,512.7,292.7,33.63004608976921,33.63004608976921,True,0.9868,0.9868,433.47
pair_117,Set B,gen_057,1,1,1,537.0,462.0,538.7,458.7,538.7,458.7,3.712142238654148,3.712142238654148,False,0.9988,0.9988,581.98
pair_118,Set B,gen_058,1,1,1,522.0,324.0,525.3,308.3,525.3,308.3,16.04306703844372,16.04306703844372,False,0.9977,0.9977,531.2
pair_119,Set B,gen_059,1,1,1,525.0,502.0,525.3,500.7,525.3,500.7,1.3341664064126342,1.3341664064126342,False,0.9987,0.9987,568.68
pair_120,Set B,gen_060,1,1,1,482.0,335.0,483.7,359.7,483.7,359.7,24.758432906789547,24.758432906789547,True,0.9982,0.9982,369.48
pair_121,Set B,gen_001,1,1,1,632.0,353.0,643.3,339.7,643.3,339.7,17.452220489095343,17.452220489095343,True,0.9976,0.9976,349.4
pair_122,Set B,gen_002,1,1,1,630.0,374.0,611.8,392.2,611.3,393.3,25.738686835190354,26.873406929527974,True,0.9986,0.9986,353.95
pair_123,Set B,gen_003,1,1,1,515.0,486.0,515.91,485.73,515.91,485.73,0.9492101980067073,0.9492101980067073,True,0.9982,0.9982,400.26
pair_124,Set B,gen_004,1,1,1,319.0,619.0,310.3,625.7,310.3,625.7,10.980892495603461,10.980892495603461,True,0.9961,0.9961,349.41
pair_125,Set B,gen_005,1,1,1,506.0,527.0,507.11,527.3,507.11,527.3,1.1498260738042094,1.1498260738042094,False,0.9973,0.9973,571.49
pair_126,Set B,gen_006,1,1,1,320.0,694.0,295.8,721.8,295.8,721.8,36.85756367423106,36.85756367423106,False,0.9975,0.9975,509.74
pair_127,Set B,gen_007,1,1,1,529.0,516.0,530.7,519.3,530.7,519.3,3.7121422386540974,3.7121422386540974,True,0.9976,0.9976,317.33
pair_128,Set B,gen_008,1,1,1,322.0,664.0,309.15,674.7,309.24,674.7,16.721617744704055,16.652555359463626,True,0.9985,0.9984,367.43
pair_129,Set B,gen_009,1,1,1,424.0,496.0,431.3,494.97,431.3,494.97,7.372306287723002,7.372306287723002,False,0.9984,0.9984,505.43
pair_130,Set B,gen_010,1,1,1,422.0,556.0,421.2,555.2,421.2,555.2,1.131370849898452,1.131370849898452,False,0.9972,0.9972,554.0
pair_131,Set B,gen_011,1,1,1,518.0,494.0,516.7,494.3,516.7,494.3,1.3341664064125915,1.3341664064125915,False,0.9979,0.9979,495.75
pair_132,Set B,gen_012,1,1,1,476.0,344.0,287.0,139.3,287.0,139.3,278.60920659590556,278.60920659590556,False,0.9985,0.9985,546.29
pair_133,Set B,gen_013,1,1,1,485.0,716.0,483.0,754.8,483.0,754.8,38.85151219708181,38.85151219708181,True,0.998,0.998,555.28
pair_134,Set B,gen_014,1,1,1,286.0,460.0,310.3,463.7,310.3,463.7,24.580073230159435,24.580073230159435,True,0.9986,0.9986,499.84
pair_135,Set B,gen_015,1,1,1,538.0,441.0,531.7,701.7,531.7,701.7,260.77611086907484,260.77611086907484,True,0.9935,0.9934,402.96
pair_136,Set B,gen_016,1,1,1,334.0,492.0,743.22,598.2,743.22,598.2,422.7758843642811,422.7758843642811,True,0.9985,0.9985,595.61
pair_137,Set B,gen_017,1,1,1,508.0,304.0,508.18,325.65,508.18,325.65,21.65074825496798,21.65074825496798,True,0.9935,0.9935,366.91
pair_138,Set B,gen_018,1,1,1,471.0,539.0,470.91,535.7,470.83,535.7,3.301227044600189,3.3043758866084993,True,0.9887,0.9886,292.51
pair_139,Set B,gen_019,1,1,1,460.0,514.0,460.2,512.2,460.2,512.2,1.8110770276274368,1.8110770276274368,True,0.9974,0.9974,359.53
pair_140,Set B,gen_020,1,1,1,501.0,307.0,501.73,288.82,501.7,288.93,18.194650312660595,18.0835533012735,True,0.9982,0.9982,333.41
pair_141,Set C,gen_021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.4302,0.4302,304.12
pair_142,Set C,gen_022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2881,0.2881,312.41
pair_143,Set C,gen_023,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3087,0.3087,434.19
pair_144,Set C,gen_024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3087,0.3087,399.56
pair_145,Set C,gen_025,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2607,0.2607,431.75
pair_146,Set C,gen_026,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2607,0.2607,449.99
pair_147,Set C,gen_027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0331,0.0331,450.59
pair_148,Set C,gen_028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0331,0.0331,412.56
pair_149,Set C,gen_029,0,1,1,0.0,0.0,499.8,500.8,498.7,66.7,999.0,999.0,True,0.7189,0.9367,545.07
pair_150,Set C,gen_030,0,1,1,0.0,0.0,499.8,500.8,498.7,66.7,999.0,999.0,True,0.7189,0.9367,548.53
pair_151,Set C,gen_031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0678,0.0678,296.18
pair_152,Set C,gen_032,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0696,0.0696,300.25
pair_153,Set C,gen_033,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0237,0.0237,468.45
pair_154,Set C,gen_034,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0237,0.0237,483.9
pair_155,Set C,gen_035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3757,0.3757,349.26
pair_156,Set C,gen_036,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3757,0.3757,363.02
pair_157,Set C,gen_037,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2868,0.2903,364.94
pair_158,Set C,gen_038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2868,0.2903,352.59
pair_159,Set C,gen_039,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2174,0.2454,351.27
pair_160,Set C,gen_040,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2174,0.2454,330.9
pair_161,Set C,gen_041,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.1626,0.1626,326.12
pair_162,Set C,gen_042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.1626,0.1626,353.11
pair_163,Set C,gen_043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0746,0.0746,326.29
pair_164,Set C,gen_044,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0746,0.0746,285.92
pair_165,Set C,gen_045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.1072,0.0931,245.52
pair_166,Set C,gen_046,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.1072,0.0931,268.17
pair_167,Set C,gen_047,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2223,0.2326,374.9
pair_168,Set C,gen_048,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2223,0.2326,349.88
pair_169,Set C,gen_049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.1858,0.1794,453.27
pair_170,Set C,gen_050,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.1858,0.1794,447.97
pair_171,Set C,gen_051,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3155,0.3155,453.79
pair_172,Set C,gen_052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.1252,0.1252,384.79
pair_173,Set C,gen_053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.417,0.417,417.69
pair_174,Set C,gen_054,0,1,1,0.0,0.0,529.71,549.91,531.27,543.2,999.0,999.0,True,0.6517,0.6046,426.95
pair_175,Set C,gen_055,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.1618,0.1595,395.12
pair_176,Set C,gen_056,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.1618,0.1595,377.0
pair_177,Set C,gen_057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3599,0.3599,431.95
pair_178,Set C,gen_058,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3256,0.3245,298.73
pair_179,Set C,gen_059,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3654,0.3654,498.0
pair_180,Set C,gen_060,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3654,0.3654,451.32
pair_181,Set D,gen_001,1,1,1,669.0,376.0,668.2,376.8,668.2,376.8,1.131370849898452,1.131370849898452,True,0.9987,0.9987,348.46
pair_182,Set D,gen_002,1,1,1,614.0,361.0,613.2,361.8,613.2,361.8,1.131370849898452,1.131370849898452,True,0.9989,0.9989,338.62
pair_183,Set D,gen_003,1,1,1,521.0,511.0,519.75,509.7,519.75,509.7,1.8034688796871516,1.8034688796871516,False,0.9987,0.9987,619.45
