pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,grad_ncc,raw_siamese,runtime_ms
pair_050,Set A,gen_050,1,1,476.0,298.0,761.2,239.56,291.13,8.638,10.0,1.36,2.295,0.0,2.29,0.9986,0.962,0.9715,566.43
pair_051,Set A,gen_051,1,1,475.0,479.0,858.2,94.2,543.06,10.459,10.0,0.46,1.336,0.0,1.34,0.9979,0.9563,0.9097,566.51
pair_052,Set A,gen_052,1,1,525.0,336.0,717.8,335.78,192.8,8.102,10.0,1.9,4.174,0.0,4.17,0.998,0.9573,0.9221,517.04
pair_053,Set A,gen_053,1,1,538.0,461.0,154.37,460.83,383.63,8.601,10.0,1.4,-2.792,0.0,2.79,0.9985,0.9651,0.9584,550.06
pair_054,Set A,gen_054,1,1,466.0,336.0,609.86,335.2,143.86,8.214,10.0,1.79,-4.393,0.0,4.39,0.9988,0.9722,0.9828,500.48
pair_055,Set A,gen_055,1,1,526.0,479.0,372.23,478.32,153.77,9.311,10.0,0.69,1.258,0.0,1.26,0.9987,0.9525,0.9981,583.99
pair_056,Set A,gen_056,1,1,504.0,293.0,152.8,69.08,416.51,9.544,10.0,0.46,2.048,0.0,2.05,0.9987,0.9516,0.9959,567.02
pair_057,Set A,gen_057,1,1,481.0,468.0,481.2,659.2,191.2,10.072,10.0,0.07,-3.276,0.0,3.28,0.9988,0.9646,0.9929,499.49
pair_058,Set A,gen_058,1,1,536.0,345.0,536.39,536.58,191.58,11.497,10.0,1.5,0.789,0.0,0.79,0.9978,0.9443,0.9132,516.53
pair_059,Set A,gen_059,1,1,477.0,485.0,476.26,483.7,1.5,10.716,10.75,0.03,-4.157,-4.0,0.16,0.9967,0.9465,0.8429,532.75
pair_060,Set A,gen_060,1,1,512.0,327.0,511.75,327.8,0.84,9.265,9.25,0.02,4.843,5.0,0.16,0.9972,0.9491,0.871,533.37
pair_061,Set A,gen_001,1,1,676.0,317.0,677.3,318.3,1.84,10.852,11.0,0.15,2.393,2.5,0.11,0.9966,0.8005,0.9875,464.54
pair_062,Set A,gen_002,1,1,687.0,369.0,687.57,370.04,1.19,11.051,11.25,0.2,3.903,4.0,0.1,0.9968,0.7995,0.9986,483.64
pair_063,Set A,gen_003,1,1,468.0,529.0,468.05,599.01,70.01,10.077,10.0,0.08,0.886,0.0,0.89,0.992,0.8442,0.7987,549.65
pair_064,Set A,gen_004,1,1,357.0,654.0,356.2,93.97,560.03,11.313,10.0,1.31,-3.082,0.0,3.08,0.9917,0.9196,0.7179,475.6
pair_065,Set A,gen_005,1,1,501.0,460.0,451.8,109.2,354.23,9.332,10.0,0.67,-4.654,0.0,4.65,0.9987,0.9559,0.988,587.69
pair_066,Set A,gen_006,1,1,320.0,702.0,619.2,451.2,390.41,8.693,10.0,1.31,-3.058,0.0,3.06,0.9987,0.9583,0.9886,566.79
pair_067,Set A,gen_007,1,1,520.0,469.0,519.2,258.82,210.18,9.769,10.0,0.23,4.247,0.0,4.25,0.9276,0.8847,0.3802,570.94
pair_068,Set A,gen_008,1,1,322.0,652.0,671.54,651.69,349.54,8.172,10.0,1.83,3.852,0.0,3.85,0.9552,0.9335,0.4163,549.09
pair_069,Set A,gen_009,1,1,438.0,464.0,878.8,64.04,595.21,10.308,10.0,0.31,-1.448,0.0,1.45,0.999,0.9912,1.0,512.19
pair_070,Set A,gen_010,1,1,387.0,569.0,107.49,769.8,344.16,8.195,10.0,1.8,4.584,0.0,4.58,0.9914,0.9094,0.7217,530.92
pair_071,Set B,gen_011,1,1,493.0,510.0,789.87,364.8,330.48,9.11,11.75,2.64,-4.039,1.0,5.04,0.8523,0.717,0.415,431.77
pair_072,Set B,gen_012,1,1,531.0,327.0,180.7,589.49,437.73,11.95,9.75,2.2,-3.171,1.0,4.17,0.6928,0.644,0.3315,564.91
pair_073,Set B,gen_013,1,1,497.0,709.0,77.2,521.28,459.86,10.311,9.25,1.06,-3.481,1.5,4.98,0.9767,0.619,0.8435,515.66
pair_074,Set B,gen_014,1,1,322.0,462.0,297.88,457.09,24.61,11.56,11.25,0.31,3.369,5.0,1.63,0.8206,0.5585,0.5349,532.83
pair_075,Set B,gen_015,1,1,474.0,389.0,479.7,645.78,256.84,8.026,11.75,3.72,-2.255,-1.0,1.25,0.873,0.6759,0.4854,464.38
pair_076,Set B,gen_016,1,0,327.0,498.0,0.0,0.0,999.0,8.943,0.0,999.0,4.124,0.0,999.0,0.0518,0.7377,-0.3823,514.74
pair_077,Set B,gen_017,1,1,460.0,288.0,451.3,282.89,10.09,9.167,12.0,2.83,0.439,1.0,0.56,0.5144,0.5528,0.2968,505.59
pair_078,Set B,gen_018,1,1,487.0,533.0,484.3,536.23,4.21,9.264,8.25,1.01,-4.91,-5.0,0.09,0.8263,0.5778,0.5221,498.93
pair_079,Set B,gen_019,1,1,503.0,522.0,502.89,522.8,0.81,9.34,10.25,0.91,-4.19,1.0,5.19,0.6949,0.5714,0.4058,599.0
pair_080,Set B,gen_020,1,0,489.0,285.0,0.0,0.0,999.0,11.535,0.0,999.0,-3.206,0.0,999.0,0.2395,0.6928,-0.0454,445.5
pair_081,Set B,gen_021,1,1,494.0,525.0,494.2,526.59,1.6,9.155,8.75,0.4,-3.086,-2.5,0.59,0.9815,0.7548,0.7475,568.77
pair_082,Set B,gen_022,1,1,495.0,309.0,495.62,331.42,22.43,9.462,10.75,1.29,0.432,1.5,1.07,0.9899,0.8644,0.7396,533.19
pair_083,Set B,gen_023,1,1,526.0,503.0,517.3,500.76,8.98,11.99,12.0,0.01,-3.508,-1.0,2.51,0.6685,0.6202,0.3366,432.34
pair_084,Set B,gen_024,1,0,487.0,295.0,0.0,0.0,999.0,10.161,0.0,999.0,-2.622,0.0,999.0,0.3194,0.558,0.156,599.98
pair_085,Set B,gen_025,1,1,474.0,537.0,470.95,540.7,4.8,9.19,8.25,0.94,3.517,4.0,0.48,0.9833,0.6345,0.8852,474.51
pair_086,Set B,gen_026,1,1,461.0,305.0,460.79,303.7,1.32,10.877,11.0,0.12,2.867,2.5,0.37,0.9966,0.8606,0.9241,505.39
pair_087,Set B,gen_027,1,1,467.0,514.0,467.3,515.3,1.33,11.723,11.75,0.03,2.22,2.5,0.28,0.9932,0.9253,0.7454,501.51
pair_088,Set B,gen_028,1,1,530.0,338.0,536.8,315.8,23.22,10.697,9.25,1.45,-0.649,-1.0,0.35,0.993,0.8765,0.7904,594.27
pair_089,Set B,gen_029,1,1,478.0,474.0,478.7,474.7,0.99,10.454,11.25,0.8,-4.55,-4.0,0.55,0.9763,0.9177,0.542,448.87
pair_090,Set B,gen_030,1,1,471.0,314.0,247.34,451.7,262.65,8.4,9.0,0.6,4.778,0.0,4.78,0.9522,0.8304,0.5084,584.5
pair_091,Set B,gen_031,1,1,509.0,464.0,518.7,468.3,10.61,9.032,11.25,2.22,3.603,-3.5,7.1,0.8587,0.5576,0.5831,466.68
pair_092,Set B,gen_032,1,1,509.0,299.0,507.9,299.3,1.14,11.245,11.25,0.01,2.428,2.5,0.07,0.9511,0.7662,0.5685,462.52
pair_093,Set B,gen_033,1,1,497.0,468.0,495.48,472.7,4.94,9.062,11.75,2.69,3.084,2.5,0.58,0.9756,0.5968,0.8577,468.7
pair_094,Set B,gen_034,1,1,516.0,338.0,511.73,367.81,30.11,8.487,10.75,2.26,-0.376,0.0,0.38,0.9961,0.8545,0.9073,513.54
pair_095,Set B,gen_035,1,1,467.0,475.0,381.17,885.82,419.69,11.897,11.25,0.65,4.302,0.0,4.3,0.9977,0.8908,0.9612,421.86
pair_096,Set B,gen_036,1,1,524.0,285.0,47.7,154.7,493.8,9.228,11.75,2.52,-3.802,1.0,4.8,0.5865,0.674,0.2242,436.55
pair_097,Set B,gen_037,1,1,510.0,471.0,509.37,472.7,1.81,9.326,10.75,1.42,0.69,1.5,0.81,0.9921,0.7309,0.9152,531.3
pair_098,Set B,gen_038,1,1,473.0,339.0,468.2,316.8,22.71,10.62,9.25,1.37,-4.413,-4.0,0.41,0.9967,0.837,0.9559,561.47
pair_099,Set B,gen_039,1,1,468.0,505.0,472.14,504.15,4.23,8.747,11.0,2.25,0.221,-1.0,1.22,0.7969,0.5626,0.5053,511.0
pair_100,Set B,gen_040,1,0,505.0,345.0,0.0,0.0,999.0,11.178,0.0,999.0,-2.425,0.0,999.0,0.4906,0.5604,0.2734,580.04
pair_101,Set B,gen_041,1,1,507.0,502.0,507.7,501.77,0.74,8.993,8.0,0.99,1.639,1.5,0.14,0.9796,0.7396,0.746,520.23
pair_102,Set B,gen_042,1,1,535.0,294.0,530.3,324.7,31.06,9.614,11.25,1.64,-0.804,-1.0,0.2,0.9621,0.7475,0.6313,431.0
pair_103,Set B,gen_043,1,1,496.0,534.0,496.3,527.75,6.26,10.554,12.0,1.45,-1.19,-1.0,0.19,0.8843,0.8438,0.3351,416.01
pair_104,Set B,gen_044,1,1,523.0,275.0,526.2,238.2,36.94,9.993,8.75,1.24,0.773,1.0,0.23,0.9943,0.8942,0.8046,516.22
pair_105,Set B,gen_045,1,0,495.0,477.0,0.0,0.0,999.0,9.053,0.0,999.0,3.546,0.0,999.0,0.3183,0.6307,0.0824,498.96
pair_106,Set B,gen_046,1,0,508.0,299.0,0.0,0.0,999.0,11.458,0.0,999.0,4.157,0.0,999.0,0.0921,0.6041,-0.1455,484.23
pair_107,Set B,gen_047,1,1,513.0,519.0,514.7,521.41,2.95,11.514,11.0,0.51,-3.513,-3.5,0.01,0.985,0.7256,0.8123,566.31
pair_108,Set B,gen_048,1,1,511.0,275.0,648.8,188.74,162.57,8.942,8.75,0.19,1.32,0.0,1.32,0.879,0.6391,0.5314,513.1
pair_109,Set B,gen_049,1,1,537.0,534.0,346.76,186.7,395.99,9.096,11.0,1.9,-1.936,0.0,1.94,0.9777,0.9043,0.5659,532.17
pair_110,Set B,gen_050,1,1,522.0,285.0,320.2,51.2,308.85,9.173,10.0,0.83,4.503,-1.0,5.5,0.6858,0.6308,0.3393,531.74
pair_111,Set B,gen_051,1,1,473.0,489.0,384.27,85.9,412.75,8.963,10.75,1.79,3.342,0.0,3.34,0.9727,0.9087,0.5268,533.14
pair_112,Set B,gen_052,1,1,519.0,293.0,127.34,90.7,440.82,10.765,11.25,0.48,1.163,0.0,1.16,0.511,0.5733,0.274,483.88
pair_113,Set B,gen_053,1,1,523.0,522.0,579.8,730.71,216.3,10.813,9.25,1.56,3.244,-1.0,4.24,0.8344,0.5822,0.5273,570.54
pair_114,Set B,gen_054,1,1,532.0,324.0,118.63,274.75,416.29,11.037,9.25,1.79,-0.964,0.0,0.96,0.9943,0.8852,0.8143,599.28
pair_115,Set B,gen_055,1,1,537.0,465.0,514.37,128.82,336.94,10.295,10.0,0.29,-1.886,0.0,1.89,0.9939,0.7088,0.9793,542.71
pair_116,Set B,gen_056,1,1,508.0,326.0,890.2,860.41,657.02,9.196,8.75,0.45,-2.405,-1.0,1.4,0.6178,0.5559,0.3641,485.4
pair_117,Set B,gen_057,1,1,537.0,462.0,538.7,458.7,3.71,9.646,9.0,0.65,0.505,1.0,0.49,0.9964,0.8471,0.9286,572.67
pair_118,Set B,gen_058,1,1,522.0,324.0,525.2,552.8,228.82,8.563,9.25,0.69,0.062,1.0,0.94,0.9732,0.6594,0.7795,553.55
pair_119,Set B,gen_059,1,1,525.0,502.0,364.2,85.2,446.74,8.912,10.0,1.09,-2.052,0.0,2.05,0.9968,0.9095,0.8876,582.41
pair_120,Set B,gen_060,1,1,482.0,335.0,349.81,522.48,229.4,10.218,11.75,1.53,1.237,0.0,1.24,0.8612,0.7489,0.3953,444.17
pair_121,Set B,gen_001,1,1,632.0,353.0,89.14,573.7,586.01,10.892,11.25,0.36,4.818,-1.0,5.82,0.9432,0.5612,0.7472,498.89
pair_122,Set B,gen_002,1,1,630.0,374.0,609.42,393.33,28.23,8.879,10.25,1.37,-4.12,-3.5,0.62,0.9936,0.6862,0.9941,475.87
pair_123,Set B,gen_003,1,1,515.0,486.0,935.02,486.18,420.02,11.459,10.0,1.46,4.612,0.0,4.61,0.9885,0.882,0.7001,497.16
pair_124,Set B,gen_004,1,1,319.0,619.0,306.1,413.65,205.75,10.593,12.0,1.41,-2.102,-1.0,1.1,0.5106,0.5612,0.2859,462.08
pair_125,Set B,gen_005,1,1,506.0,527.0,905.2,627.61,411.68,8.485,10.0,1.52,1.108,0.0,1.11,0.9951,0.8938,0.8323,560.84
pair_126,Set B,gen_006,1,1,320.0,694.0,66.85,152.8,597.48,9.76,8.75,1.01,-3.066,1.0,4.07,0.9739,0.7237,0.7193,498.23
pair_127,Set B,gen_007,1,0,529.0,516.0,0.0,0.0,999.0,9.258,0.0,999.0,-1.802,0.0,999.0,0.3578,0.6457,0.0968,533.43
pair_128,Set B,gen_008,1,1,322.0,664.0,309.06,675.5,17.31,11.313,10.75,0.56,1.795,1.0,0.79,0.9907,0.7767,0.8407,566.73
pair_129,Set B,gen_009,1,1,424.0,496.0,321.7,748.01,271.98,9.781,11.0,1.22,-2.9,1.0,3.9,0.924,0.8483,0.4079,473.82
pair_130,Set B,gen_010,1,0,422.0,556.0,0.0,0.0,999.0,8.653,0.0,999.0,-3.047,0.0,999.0,0.2835,0.714,-0.0286,550.47
pair_131,Set B,gen_011,1,1,518.0,494.0,847.81,494.31,329.81,11.598,10.0,1.6,-2.377,0.0,2.38,0.9964,0.9204,0.855,516.65
pair_132,Set B,gen_012,1,1,476.0,344.0,102.8,325.47,373.66,8.078,8.75,0.67,3.944,0.0,3.94,0.9765,0.8544,0.6067,533.07
pair_133,Set B,gen_013,1,1,485.0,716.0,480.7,755.3,39.53,10.355,9.0,1.36,2.456,1.5,0.96,0.9328,0.5955,0.683,549.99
pair_134,Set B,gen_014,1,1,286.0,460.0,307.84,720.19,261.11,10.79,11.25,0.46,4.681,0.0,4.68,0.9865,0.8533,0.7021,499.74
pair_135,Set B,gen_015,1,0,538.0,441.0,0.0,0.0,999.0,11.644,0.0,999.0,-4.587,0.0,999.0,0.0473,0.5851,-0.2456,500.27
pair_136,Set B,gen_016,1,1,334.0,492.0,743.77,599.8,423.71,9.992,8.75,1.24,-2.702,1.0,3.7,0.9892,0.8266,0.7664,583.39
pair_137,Set B,gen_017,1,0,508.0,304.0,0.0,0.0,999.0,8.081,0.0,999.0,-2.388,0.0,999.0,0.0133,0.5381,-0.4161,518.29
pair_138,Set B,gen_018,1,1,471.0,539.0,470.93,537.34,1.66,11.161,12.0,0.84,1.366,3.5,2.13,0.8076,0.561,0.5181,483.07
pair_139,Set B,gen_019,1,1,460.0,514.0,460.8,513.8,0.82,8.676,9.25,0.57,2.527,2.5,0.03,0.966,0.6342,0.7638,600.08
pair_140,Set B,gen_020,1,1,501.0,307.0,501.8,289.66,17.36,9.258,8.75,0.51,-1.847,-1.0,0.85,0.9733,0.7375,0.7021,533.6
pair_141,Set C,gen_021,0,1,0.0,0.0,514.77,487.42,999.0,0.0,10.25,999.0,0.0,0.0,999.0,0.5843,0.5574,0.3394,517.39
pair_142,Set C,gen_022,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2223,0.557,0.0742,549.63
pair_143,Set C,gen_023,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2459,0.5793,0.074,483.93
pair_144,Set C,gen_024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2459,0.5793,0.074,499.91
pair_145,Set C,gen_025,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0653,0.5501,-0.1536,483.47
pair_146,Set C,gen_026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0653,0.5501,-0.1536,449.14
pair_147,Set C,gen_027,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3226,0.5649,0.1515,416.89
pair_148,Set C,gen_028,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3226,0.5649,0.1515,434.79
pair_149,Set C,gen_029,0,1,0.0,0.0,413.8,499.96,999.0,0.0,10.0,999.0,0.0,0.0,999.0,0.9702,0.7357,0.6849,517.07
pair_150,Set C,gen_030,0,1,0.0,0.0,413.8,499.96,999.0,0.0,10.0,999.0,0.0,0.0,999.0,0.9702,0.7357,0.6849,533.12
pair_151,Set C,gen_031,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1895,0.5689,0.0289,466.61
pair_152,Set C,gen_032,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1911,0.5691,0.0304,464.8
pair_153,Set C,gen_033,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.6078,0.1839,516.63
pair_154,Set C,gen_034,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.6078,0.1839,516.54
pair_155,Set C,gen_035,0,1,0.0,0.0,904.71,251.3,999.0,0.0,12.0,999.0,0.0,0.0,999.0,0.966,0.6256,0.7723,431.19
pair_156,Set C,gen_036,0,1,0.0,0.0,878.71,251.3,999.0,0.0,12.0,999.0,0.0,0.0,999.0,0.966,0.6256,0.7723,416.85
pair_157,Set C,gen_037,0,1,0.0,0.0,488.3,514.09,999.0,0.0,11.75,999.0,0.0,-2.5,999.0,0.793,0.5834,0.4804,391.31
pair_158,Set C,gen_038,0,1,0.0,0.0,488.3,514.09,999.0,0.0,11.75,999.0,0.0,-2.5,999.0,0.793,0.5834,0.4804,433.13
pair_159,Set C,gen_039,0,1,0.0,0.0,469.3,504.3,999.0,0.0,12.0,999.0,0.0,0.0,999.0,0.7915,0.6292,0.4331,515.55
pair_160,Set C,gen_040,0,1,0.0,0.0,469.3,504.3,999.0,0.0,12.0,999.0,0.0,0.0,999.0,0.7915,0.6292,0.4331,483.04
pair_161,Set C,gen_041,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3083,0.5659,0.1394,499.68
pair_162,Set C,gen_042,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3083,0.5659,0.1394,500.5
pair_163,Set C,gen_043,0,1,0.0,0.0,521.7,473.3,999.0,0.0,11.75,999.0,0.0,-1.5,999.0,0.687,0.5507,0.4204,455.09
pair_164,Set C,gen_044,0,1,0.0,0.0,521.7,473.3,999.0,0.0,11.75,999.0,0.0,-1.5,999.0,0.687,0.5507,0.4204,455.01
pair_165,Set C,gen_045,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1338,0.5611,-0.0324,418.46
pair_166,Set C,gen_046,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1338,0.5611,-0.0324,399.21
pair_167,Set C,gen_047,0,1,0.0,0.0,719.73,249.3,999.0,0.0,10.75,999.0,0.0,1.0,999.0,0.5523,0.5798,0.2952,483.46
pair_168,Set C,gen_048,0,1,0.0,0.0,719.73,249.3,999.0,0.0,10.75,999.0,0.0,1.0,999.0,0.5523,0.5798,0.2952,538.04
pair_169,Set C,gen_049,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.5659,0.11,516.57
