pair_id,generator,set,gt_x,gt_y,pred_x,pred_y,gt_coarse_rank,gt_siamese_rank,gt_fused_rank,selected_coarse_rank,selected_x,selected_y,ncc_score_gt,siamese_score_gt,fused_score_gt,ncc_score_selected,siamese_score_selected,fused_score_selected,selection_failure,refinement_failure
pair_046,gen_046,Set A,517.0,325.0,516.7,324.7,1,1,1,1,517.5,325.5,0.9933,0.8655,0.9294,0.9933,0.8655,0.9294,0,0
pair_047,gen_047,Set A,529.0,529.0,97.8,145.8,1,16,13,1,97.0,145.0,0.9422,0.7179,0.8301,0.9849,0.9761,0.9805,1,0
pair_048,gen_048,Set A,494.0,287.0,86.8,118.2,2,19,9,1,86.0,119.0,0.987,0.815,0.901,0.9857,0.9899,0.9878,1,0
pair_049,gen_049,Set A,476.0,478.0,590.8,306.17999267578125,2,21,14,1,590.0,306.0,0.9513,0.8363,0.8938,0.9834,0.9833,0.9833,1,0
pair_050,gen_050,Set A,476.0,298.0,544.8,872.22998046875,2,28,25,1,544.0,872.0,0.9643,0.7349,0.8496,0.9842,0.9742,0.9792,1,0
pair_051,gen_051,Set A,475.0,479.0,618.2,70.41000366210938,2,9,4,1,619.0,71.0,0.9544,0.8426,0.8985,0.9606,0.9097,0.9352,1,0
pair_052,gen_052,Set A,525.0,336.0,908.2,143.77999877929688,1,28,22,1,909.0,144.0,0.9615,0.6498,0.8056,0.9599,0.9221,0.941,1,0
pair_053,gen_053,Set A,538.0,461.0,489.6600036621094,845.1400146484375,2,23,11,1,490.0,845.0,0.9463,0.799,0.8727,0.9761,0.9584,0.9673,1,0
pair_054,gen_054,Set A,466.0,336.0,81.95999908447266,143.2,2,28,19,1,82.0,144.0,0.9529,0.794,0.8734,0.9833,0.9828,0.983,1,0
pair_055,gen_055,Set A,526.0,479.0,524.2999877929688,478.54998779296875,2,23,2,1,64.0,115.0,0.9073,0.9947,0.951,0.9657,0.9981,0.9819,1,0
pair_056,gen_056,Set A,504.0,293.0,503.7099914550781,293.3,2,15,2,1,768.0,69.0,0.9352,0.9909,0.963,0.9665,0.9959,0.9812,1,0
pair_057,gen_057,Set A,481.0,468.0,482.239990234375,467.6400146484375,1,17,2,1,481.0,84.0,0.9662,0.9746,0.9704,0.9815,0.9929,0.9872,1,0
pair_058,gen_058,Set A,536.0,345.0,535.22998046875,152.9600067138672,2,10,2,1,536.0,153.0,0.9455,0.9021,0.9238,0.9669,0.9132,0.9401,1,0
pair_059,gen_059,Set A,477.0,485.0,476.9700012207031,100.2,1,22,2,1,477.0,101.0,0.9909,0.8429,0.9169,0.9606,0.9286,0.9446,1,0
pair_060,gen_060,Set A,512.0,327.0,511.2,326.2,1,18,2,1,864.0,103.0,0.9888,0.871,0.9299,0.9551,0.9409,0.948,1,0
pair_061,gen_001,Set A,676.0,317.0,674.7,316.989990234375,1,1,1,1,675.5,316.5,0.9832,0.9915,0.9874,0.9832,0.9915,0.9874,0,0
pair_062,gen_002,Set A,687.0,369.0,688.3,367.7,1,1,1,1,687.5,368.5,0.9642,0.9985,0.9814,0.9642,0.9985,0.9814,0,0
pair_063,gen_003,Set A,468.0,529.0,467.6600036621094,529.780029296875,1,1,1,1,468.0,529.0,0.9461,0.9485,0.9473,0.9461,0.9485,0.9473,0,0
pair_064,gen_004,Set A,357.0,654.0,355.7,653.0800170898438,1,1,1,1,356.5,653.5,0.9059,0.7988,0.8524,0.9059,0.7988,0.8524,0,0
pair_065,gen_005,Set A,501.0,460.0,551.4299926757812,109.93000030517578,2,13,11,1,551.0,110.0,0.9045,0.756,0.8303,0.9568,0.988,0.9724,1,0
pair_066,gen_006,Set A,320.0,702.0,670.8,51.2400016784668,2,19,13,1,670.0,52.0,0.9098,0.7448,0.8273,0.959,0.9886,0.9738,1,0
pair_067,gen_007,Set A,520.0,469.0,519.2,469.29998779296875,1,1,1,1,520.0,469.0,0.9494,0.8332,0.8913,0.9494,0.8332,0.8913,0,0
pair_068,gen_008,Set A,322.0,652.0,320.7,653.3,1,1,1,1,321.5,652.5,0.9482,0.7901,0.8692,0.9482,0.7901,0.8692,0,0
pair_069,gen_009,Set A,438.0,464.0,118.8,64.8,4,23,10,1,118.0,64.0,0.9672,0.9055,0.9364,1.0,1.0,1.0,1,0
pair_070,gen_010,Set A,387.0,569.0,388.3,567.7,1,10,2,1,107.0,529.0,0.964,0.6395,0.8018,0.9185,0.7217,0.8201,1,0
pair_071,gen_011,Set B,493.0,510.0,493.8500061035156,506.9100036621094,2,1,1,1,493.5,506.5,0.892,0.8865,0.8893,0.892,0.8865,0.8893,0,0
pair_072,gen_012,Set B,531.0,327.0,532.2,846.8,1,16,13,1,533.0,846.0,0.8253,0.4046,0.6149,0.8467,0.5158,0.6813,1,0
pair_073,gen_013,Set B,497.0,709.0,286.8,416.2,4,-1,-1,1,185.5,521.5,0.0,0.0,0.0,0.9048,0.8655,0.8851,1,0
pair_074,gen_014,Set B,322.0,462.0,622.2,138.77999877929688,6,-1,-1,1,623.0,139.0,0.0,0.0,0.0,0.862,0.6045,0.7333,1,0
pair_075,gen_015,Set B,474.0,389.0,318.94000244140625,486.760009765625,8,-1,-1,1,319.5,487.5,0.0,0.0,0.0,0.9157,0.6897,0.8027,1,0
pair_076,gen_016,Set B,327.0,498.0,253.3,763.3,6,-1,-1,1,252.5,762.5,0.0,0.0,0.0,0.9035,0.9377,0.9206,1,0
pair_077,gen_017,Set B,460.0,288.0,457.3,287.7,1,1,1,1,456.5,288.5,0.7696,0.5174,0.6435,0.7696,0.5174,0.6435,0,0
pair_078,gen_018,Set B,487.0,533.0,484.7,537.25,1,1,1,1,485.5,536.5,0.8476,0.5228,0.6852,0.8476,0.5228,0.6852,0,0
pair_079,gen_019,Set B,503.0,522.0,503.5299987792969,525.0900268554688,1,1,1,1,504.0,525.0,0.7373,0.3867,0.562,0.7373,0.3867,0.562,0,0
pair_080,gen_020,Set B,489.0,285.0,489.7,316.7,1,-1,-1,1,490.5,317.5,0.0,0.0,0.0,0.8261,0.1811,0.5036,1,0
pair_081,gen_021,Set B,494.0,525.0,495.8,527.8,1,1,1,1,495.0,527.0,0.9309,0.7475,0.8392,0.9309,0.7475,0.8392,0,0
pair_082,gen_022,Set B,495.0,309.0,495.0,330.7,1,-1,-1,1,495.5,331.5,0.0,0.0,0.0,0.9775,0.7396,0.8585,1,0
pair_083,gen_023,Set B,526.0,503.0,521.8900146484375,502.29998779296875,1,1,1,1,521.5,502.5,0.8162,0.4193,0.6177,0.8162,0.4193,0.6177,0,0
pair_084,gen_024,Set B,487.0,295.0,487.7,283.5799865722656,1,1,1,1,488.5,283.5,0.7526,0.3754,0.564,0.7526,0.3754,0.564,0,1
pair_085,gen_025,Set B,474.0,537.0,472.3,540.7,1,1,1,1,471.5,541.5,0.9281,0.8852,0.9066,0.9281,0.8852,0.9066,0,0
pair_086,gen_026,Set B,461.0,305.0,462.3,304.9800109863281,1,1,1,1,461.5,304.5,0.9725,0.9589,0.9657,0.9725,0.9589,0.9657,0,0
pair_087,gen_027,Set B,467.0,514.0,907.8,353.2,2,28,10,1,907.0,354.0,0.954,0.7454,0.8497,0.9317,0.8797,0.9057,1,0
pair_088,gen_028,Set B,530.0,338.0,536.8,315.3900146484375,1,-1,-1,1,536.0,315.0,0.0,0.0,0.0,0.9422,0.7904,0.8663,1,0
pair_089,gen_029,Set B,478.0,474.0,480.3,476.3,1,1,1,1,479.5,475.5,0.9775,0.542,0.7597,0.9775,0.542,0.7597,0,0
pair_090,gen_030,Set B,471.0,314.0,217.3,451.7,4,-1,-1,1,937.5,452.5,0.0,0.0,0.0,0.9362,0.5328,0.7345,1,0
pair_091,gen_031,Set B,509.0,464.0,512.3,459.2699890136719,1,1,1,1,511.5,458.5,0.8255,0.7372,0.7813,0.8255,0.7372,0.7813,0,1
pair_092,gen_032,Set B,509.0,299.0,509.3,299.2099914550781,1,1,1,1,508.5,298.5,0.9343,0.5685,0.7514,0.9343,0.5685,0.7514,0,0
pair_093,gen_033,Set B,497.0,468.0,494.7,459.7,1,1,1,1,495.5,460.5,0.9,0.8834,0.8917,0.9,0.8834,0.8917,0,1
pair_094,gen_034,Set B,516.0,338.0,512.75,368.2,1,-1,-1,1,513.0,369.0,0.0,0.0,0.0,0.9561,0.9183,0.9372,1,0
pair_095,gen_035,Set B,467.0,475.0,515.7999877929688,342.2900085449219,21,-1,-1,1,108.5,546.5,0.0,0.0,0.0,0.9664,0.9539,0.9601,1,0
pair_096,gen_036,Set B,524.0,285.0,518.7,313.45001220703125,2,-1,-1,1,519.5,313.5,0.0,0.0,0.0,0.8824,0.5292,0.7058,1,0
pair_097,gen_037,Set B,510.0,471.0,509.3,474.3,4,1,1,1,508.5,473.5,0.9164,0.917,0.9167,0.9164,0.917,0.9167,0,0
pair_098,gen_038,Set B,473.0,339.0,468.2,315.2,1,-1,-1,1,469.0,316.0,0.0,0.0,0.0,0.954,0.9559,0.955,1,0
pair_099,gen_039,Set B,468.0,505.0,472.5,503.2,1,1,1,1,473.0,504.0,0.6733,0.5641,0.6187,0.6733,0.5641,0.6187,0,0
pair_100,gen_040,Set B,505.0,345.0,507.3,336.3,1,1,1,1,506.5,335.5,0.6803,0.4323,0.5563,0.6803,0.4323,0.5563,0,1
pair_101,gen_041,Set B,507.0,502.0,507.7,500.7,1,1,1,1,508.5,501.5,0.9202,0.746,0.8331,0.9202,0.746,0.8331,0,0
pair_102,gen_042,Set B,535.0,294.0,530.3,326.3,1,-1,-1,1,529.5,325.5,0.0,0.0,0.0,0.9207,0.6313,0.776,1,0
pair_103,gen_043,Set B,496.0,534.0,497.3,529.3,1,1,1,1,496.5,528.5,0.9475,0.3351,0.6413,0.9475,0.3351,0.6413,0,0
pair_104,gen_044,Set B,523.0,275.0,527.8,239.8,13,-1,-1,1,527.0,239.0,0.0,0.0,0.0,0.9695,0.8046,0.8871,1,0
pair_105,gen_045,Set B,495.0,477.0,492.7,473.7,1,1,1,1,493.5,474.5,0.8195,0.7202,0.7698,0.8195,0.7202,0.7698,0,0
pair_106,gen_046,Set B,508.0,299.0,950.7,293.1600036621094,7,-1,-1,1,952.5,293.5,0.0,0.0,0.0,0.7077,0.5526,0.6302,1,0
pair_107,gen_047,Set B,513.0,519.0,515.1799926757812,522.3,1,1,1,1,514.5,521.5,0.9065,0.786,0.8462,0.9065,0.786,0.8462,0,0
pair_108,gen_048,Set B,511.0,275.0,595.2,516.2,1,-1,-1,1,596.0,517.0,0.0,0.0,0.0,0.8723,0.647,0.7596,1,0
pair_109,gen_049,Set B,537.0,534.0,532.2,530.8,2,1,1,1,533.0,530.0,0.948,0.8847,0.9163,0.948,0.8847,0.9163,0,1
pair_110,gen_050,Set B,522.0,285.0,281.3,894.3,1,19,19,1,280.5,893.5,0.8715,0.483,0.6773,0.8594,0.8301,0.8448,1,0
pair_111,gen_051,Set B,473.0,489.0,475.3,490.3,1,1,1,1,474.5,489.5,0.9591,0.8145,0.8868,0.9591,0.8145,0.8868,0,0
pair_112,gen_052,Set B,519.0,293.0,516.3,311.3,5,-1,-1,1,515.5,310.5,0.0,0.0,0.0,0.7123,0.4539,0.5831,1,0
pair_113,gen_053,Set B,523.0,522.0,523.2,524.8,1,1,1,1,524.0,524.0,0.8164,0.6862,0.7513,0.8164,0.6862,0.7513,0,0
pair_114,gen_054,Set B,532.0,324.0,534.8,309.8,2,13,14,1,534.0,309.0,0.8516,0.9064,0.879,0.9525,0.9068,0.9296,1,0
pair_115,gen_055,Set B,537.0,465.0,536.2,465.8,2,1,1,1,537.0,465.0,0.8312,0.9761,0.9037,0.8312,0.9761,0.9037,0,0
pair_116,gen_056,Set B,508.0,326.0,514.4500122070312,292.7,1,-1,-1,1,514.5,293.5,0.0,0.0,0.0,0.5767,0.9732,0.7749,1,0
pair_117,gen_057,Set B,537.0,462.0,538.7,458.7,1,1,1,1,539.5,459.5,0.9589,0.9286,0.9437,0.9589,0.9286,0.9437,0,0
pair_118,gen_058,Set B,522.0,324.0,524.8,693.8,1,-1,-1,1,524.5,867.5,0.0,0.0,0.0,0.8478,0.8298,0.8388,1,0
pair_119,gen_059,Set B,525.0,502.0,524.7,500.7,1,16,8,1,909.0,694.0,0.9499,0.8532,0.9016,0.9251,0.934,0.9295,1,0
pair_120,gen_060,Set B,482.0,335.0,483.7,359.7,1,-1,-1,1,484.5,360.5,0.0,0.0,0.0,0.9226,0.5184,0.7205,1,0
pair_121,gen_001,Set B,632.0,353.0,643.3,339.7,1,18,22,1,642.5,340.5,0.8514,0.9726,0.912,0.8613,0.9737,0.9175,1,0
pair_122,gen_002,Set B,630.0,374.0,611.8,392.2,1,-1,-1,1,611.0,393.0,0.0,0.0,0.0,0.9455,0.9956,0.9705,1,0
pair_123,gen_003,Set B,515.0,486.0,515.9099731445312,485.7300109863281,1,1,1,1,515.5,485.5,0.9185,0.8585,0.8885,0.9185,0.8585,0.8885,0,0
pair_124,gen_004,Set B,319.0,619.0,308.2,627.8,1,1,1,1,309.0,627.0,0.7853,0.7546,0.7699,0.7853,0.7546,0.7699,0,1
pair_125,gen_005,Set B,506.0,527.0,56.8,227.8,2,19,19,1,56.0,227.0,0.8655,0.6314,0.7484,0.9015,0.9041,0.9028,1,0
pair_126,gen_006,Set B,320.0,694.0,295.8,721.8,10,-1,-1,1,295.0,721.0,0.0,0.0,0.0,0.8774,0.7359,0.8067,1,0
pair_127,gen_007,Set B,529.0,516.0,532.8900146484375,518.8,1,1,1,1,533.0,518.0,0.8566,0.6233,0.7399,0.8566,0.6233,0.7399,0,0
pair_128,gen_008,Set B,322.0,664.0,309.1499938964844,674.7,1,-1,-1,1,309.5,675.5,0.0,0.0,0.0,0.939,0.8407,0.8898,1,0
pair_129,gen_009,Set B,424.0,496.0,432.3,496.3,2,1,1,1,431.5,495.5,0.9151,0.479,0.6971,0.9151,0.479,0.6971,0,1
pair_130,gen_010,Set B,422.0,556.0,421.2,555.2,1,1,1,1,422.0,556.0,0.8846,0.3318,0.6082,0.8846,0.3318,0.6082,0,0
pair_131,gen_011,Set B,518.0,494.0,517.2,823.260009765625,2,23,14,1,518.0,824.0,0.9097,0.7621,0.8359,0.9155,0.8588,0.8871,1,0
pair_132,gen_012,Set B,476.0,344.0,846.3,512.3,6,-1,-1,1,845.5,511.5,0.0,0.0,0.0,0.817,0.7965,0.8067,1,0
pair_133,gen_013,Set B,485.0,716.0,483.8,755.8,-1,-1,-1,1,483.0,755.0,0.0,0.0,0.0,0.8806,0.7122,0.7964,1,0
pair_134,gen_014,Set B,286.0,460.0,307.7,719.3,2,-1,-1,1,308.5,718.5,0.0,0.0,0.0,0.9485,0.7402,0.8444,1,0
pair_135,gen_015,Set B,538.0,441.0,528.7,444.7,4,1,1,1,529.5,445.5,0.8447,0.803,0.8239,0.8447,0.803,0.8239,0,1
pair_136,gen_016,Set B,334.0,492.0,743.219970703125,598.2,4,-1,-1,1,743.0,599.0,0.0,0.0,0.0,0.937,0.7664,0.8517,1,0
pair_137,gen_017,Set B,508.0,304.0,507.4800109863281,325.6600036621094,1,-1,-1,1,507.0,326.0,0.0,0.0,0.0,0.7716,0.6195,0.6956,1,0
pair_138,gen_018,Set B,471.0,539.0,471.0899963378906,535.7,1,1,1,1,470.5,536.5,0.7301,0.5076,0.6188,0.7301,0.5076,0.6188,0,0
pair_139,gen_019,Set B,460.0,514.0,462.3,513.3,1,1,1,1,461.5,512.5,0.8423,0.796,0.8192,0.8423,0.796,0.8192,0,0
pair_140,gen_020,Set B,501.0,307.0,501.29998779296875,290.3,1,-1,-1,1,501.5,289.5,0.0,0.0,0.0,0.907,0.7257,0.8164,1,0
pair_181,gen_001,Set D,669.0,376.0,668.2,376.8,1,1,1,1,669.0,376.0,0.9553,0.9995,0.9774,0.9553,0.9995,0.9774,0,0
pair_182,gen_002,Set D,614.0,361.0,613.2,361.8,1,1,1,1,614.0,361.0,0.9758,0.9941,0.9849,0.9758,0.9941,0.9849,0,0
pair_183,gen_003,Set D,521.0,511.0,519.75,509.7,1,1,1,1,520.5,510.5,0.9493,0.9414,0.9454,0.9493,0.9414,0.9454,0,0
pair_184,gen_004,Set D,382.0,646.0,383.3,646.22998046875,1,1,1,1,382.5,646.5,0.9902,0.8856,0.9379,0.9902,0.8856,0.9379,0,0
pair_185,gen_005,Set D,470.0,520.0,570.8,720.8,2,10,2,1,570.0,720.0,0.9007,0.9444,0.9225,0.954,0.9956,0.9748,1,0
pair_186,gen_006,Set D,297.0,732.0,597.6799926757812,132.8,2,10,2,1,597.0,132.0,0.9836,0.8951,0.9393,0.9545,0.9858,0.9702,1,0
pair_187,gen_007,Set D,454.0,498.0,454.0,498.6600036621094,2,1,1,1,454.5,498.5,0.9762,0.7187,0.8474,0.9762,0.7187,0.8474,0,0
pair_188,gen_008,Set D,378.0,657.0,378.0400085449219,656.8499755859375,1,1,1,1,378.0,657.0,0.9416,0.9178,0.9297,0.9416,0.9178,0.9297,0,0
pair_189,gen_009,Set D,481.0,436.0,440.989990234375,236.8,4,17,11,1,441.0,236.0,0.9482,0.8967,0.9224,0.9982,0.9993,0.9988,1,0
pair_190,gen_010,Set D,389.0,553.0,228.97999572753906,592.2,1,10,7,1,229.0,593.0,0.914,0.4966,0.7053,0.9136,0.6798,0.7967,1,0
pair_191,gen_011,Set D,537.0,466.0,371.7300109863281,465.2,2,10,10,1,372.0,466.0,0.8843,0.8493,0.8668,0.9975,0.9994,0.9984,1,0
pair_192,gen_012,Set D,490.0,365.0,490.5799865722656,530.1500244140625,3,28,28,1,490.0,530.0,0.9114,0.7902,0.8508,0.9979,0.9996,0.9987,1,0
pair_193,gen_013,Set D,494.0,722.0,304.7699890136719,532.7000122070312,3,24,5,1,304.0,532.0,0.9103,0.9221,0.9162,0.9982,0.9996,0.9989,1,0
pair_194,gen_014,Set D,346.0,513.0,535.2,608.6799926757812,2,19,6,1,536.0,608.0,0.9854,0.8508,0.9181,0.9981,0.9995,0.9988,1,0
pair_195,gen_015,Set D,471.0,392.0,280.8,486.2,1,10,2,1,280.0,487.0,0.9736,0.8692,0.9214,0.9023,0.9722,0.9373,1,0
pair_196,gen_016,Set D,274.0,523.0,464.4599914550781,808.8,2,28,4,1,464.0,808.0,0.9591,0.963,0.961,0.9974,0.9997,0.9986,1,0
pair_197,gen_017,Set D,482.0,297.0,482.8,297.8,1,1,1,1,482.0,297.0,0.9881,0.8726,0.9304,0.9881,0.8726,0.9304,0,0
pair_198,gen_018,Set D,537.0,508.0,537.8,508.57000732421875,1,1,1,1,537.0,508.0,0.9369,0.8006,0.8688,0.9369,0.8006,0.8688,0,0
pair_199,gen_019,Set D,513.0,529.0,513.3,527.7,1,1,1,1,512.5,528.5,0.9621,0.8934,0.9278,0.9621,0.8934,0.9278,0,0
pair_200,gen_020,Set D,499.0,277.0,497.7,278.0799865722656,1,1,1,1,498.5,277.5,0.9501,0.888,0.9191,0.9501,0.888,0.9191,0,0
