pair_id,set,generator_id,gt_x,gt_y,gt_theta,gt_scale,gt_found,pred_x,pred_y,pred_theta,pred_scale,pred_found,pred_score,loc_err,scale_err,theta_err,runtime_ms
pair_118,Set B,gen_058,522.0,324.0,0.062,8.563,1,524.8,693.8,1.5,9.25,1,0.9911,369.81,0.69,1.44,384.83
pair_119,Set B,gen_059,525.0,502.0,-2.052,8.912,1,909.8,693.2,0.0,10.0,1,0.9984,429.68,1.09,2.05,406.42
pair_120,Set B,gen_060,482.0,335.0,1.237,10.218,1,321.7,521.7,-3.5,11.75,1,0.8931,246.08,1.53,4.74,333.45
pair_121,Set B,gen_001,632.0,353.0,4.818,10.892,1,642.3,342.3,3.5,10.75,1,0.9949,14.85,0.14,1.32,372.72
pair_122,Set B,gen_002,630.0,374.0,-4.12,8.879,1,611.3,393.3,-3.5,10.75,1,0.9951,26.87,1.87,0.62,344.24
pair_123,Set B,gen_003,515.0,486.0,4.612,11.459,1,935.8,486.8,0.0,10.0,1,0.9908,420.8,1.46,4.61,322.27
pair_124,Set B,gen_004,319.0,619.0,-2.102,10.593,1,308.8,626.2,-5.0,9.25,1,0.9442,12.49,1.34,2.9,384.86
pair_125,Set B,gen_005,506.0,527.0,1.108,8.485,1,56.8,227.8,0.0,10.0,1,0.9975,539.72,1.52,1.11,378.7
pair_126,Set B,gen_006,320.0,694.0,-3.066,9.76,1,296.3,721.3,-2.5,9.0,1,0.6103,36.15,0.76,0.57,389.41
pair_127,Set B,gen_007,529.0,516.0,-1.802,9.258,1,532.8900146484375,518.8,-2.5,8.75,1,0.8862,4.79,0.51,0.7,383.7
pair_128,Set B,gen_008,322.0,664.0,1.795,11.313,1,309.8,674.2,-1.0,9.25,1,0.9941,15.9,2.06,2.79,341.43
pair_129,Set B,gen_009,424.0,496.0,-2.9,9.781,1,429.7,494.7,-2.5,11.0,1,0.9241,5.85,1.22,0.4,336.9
pair_130,Set B,gen_010,422.0,556.0,-3.047,8.653,1,0.0,0.0,0.0,0.0,0,0.1397,999.0,999.0,999.0,385.06
pair_131,Set B,gen_011,518.0,494.0,-2.377,11.598,1,517.2,823.260009765625,-1.0,10.0,1,0.9982,329.26,1.6,1.38,381.38
pair_132,Set B,gen_012,476.0,344.0,3.944,8.078,1,287.0,139.3,1.0,9.0,1,0.6833,278.61,0.92,2.94,393.47
pair_133,Set B,gen_013,485.0,716.0,2.456,10.355,1,368.2,418.2,-1.5,9.25,1,0.9749,319.89,1.11,3.96,369.87
pair_134,Set B,gen_014,286.0,460.0,4.681,10.79,1,820.3,464.7,2.5,11.25,1,0.9925,534.32,0.46,2.18,321.31
pair_135,Set B,gen_015,538.0,441.0,-4.587,11.644,1,531.7,701.7,-1.0,10.75,1,0.9905,260.78,0.89,3.59,326.03
pair_136,Set B,gen_016,334.0,492.0,-2.702,9.992,1,212.1199951171875,482.7,2.5,11.25,1,0.9776,122.23,1.26,5.2,460.25
pair_137,Set B,gen_017,508.0,304.0,-2.388,8.081,1,509.2,325.8,2.5,9.25,1,0.881,21.83,1.17,4.89,428.24
pair_138,Set B,gen_018,471.0,539.0,1.366,11.161,1,0.0,0.0,0.0,0.0,0,0.4877,999.0,999.0,999.0,354.05
pair_139,Set B,gen_019,460.0,514.0,2.527,8.676,1,460.2,512.2,2.5,9.25,1,0.8506,1.81,0.57,0.03,383.91
pair_140,Set B,gen_020,501.0,307.0,-1.847,9.258,1,501.7300109863281,288.82000732421875,-1.0,8.75,1,0.7398,18.19,0.51,0.85,431.75
pair_141,Set C,gen_021,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4016,0.0,0.0,0.0,285.69
pair_142,Set C,gen_022,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3786,0.0,0.0,0.0,304.75
pair_143,Set C,gen_023,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2071,0.0,0.0,0.0,318.81
pair_144,Set C,gen_024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2071,0.0,0.0,0.0,316.84
pair_145,Set C,gen_025,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4377,0.0,0.0,0.0,933.5
pair_146,Set C,gen_026,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4377,0.0,0.0,0.0,1452.71
pair_147,Set C,gen_027,0.0,0.0,0.0,0.0,0,374.7,474.3,3.5,10.75,1,0.6095,999.0,999.0,999.0,1461.38
pair_148,Set C,gen_028,0.0,0.0,0.0,0.0,0,374.7,474.3,3.5,10.75,1,0.6095,999.0,999.0,999.0,1412.32
pair_149,Set C,gen_029,0.0,0.0,0.0,0.0,0,696.3,211.3699951171875,-1.0,9.75,1,0.9785,999.0,999.0,999.0,1690.28
pair_150,Set C,gen_030,0.0,0.0,0.0,0.0,0,696.3,211.3699951171875,-1.0,9.75,1,0.9785,999.0,999.0,999.0,1800.71
pair_151,Set C,gen_031,0.0,0.0,0.0,0.0,0,508.0199890136719,524.25,-2.5,12.0,1,0.6444,999.0,999.0,999.0,1517.14
pair_152,Set C,gen_032,0.0,0.0,0.0,0.0,0,508.1199951171875,525.3,-2.5,12.0,1,0.643,999.0,999.0,999.0,1295.9
pair_153,Set C,gen_033,0.0,0.0,0.0,0.0,0,521.7,526.239990234375,0.0,9.75,1,0.9667,999.0,999.0,999.0,1437.96
pair_154,Set C,gen_034,0.0,0.0,0.0,0.0,0,521.7,526.239990234375,0.0,9.75,1,0.9667,999.0,999.0,999.0,1576.44
pair_155,Set C,gen_035,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2473,0.0,0.0,0.0,1269.42
pair_156,Set C,gen_036,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2473,0.0,0.0,0.0,1093.12
pair_157,Set C,gen_037,0.0,0.0,0.0,0.0,0,508.19000244140625,501.7,1.0,10.75,1,0.8814,999.0,999.0,999.0,1266.7
pair_158,Set C,gen_038,0.0,0.0,0.0,0.0,0,508.19000244140625,501.7,1.0,10.75,1,0.8814,999.0,999.0,999.0,1071.48
pair_159,Set C,gen_039,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0793,0.0,0.0,0.0,1050.03
pair_160,Set C,gen_040,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0793,0.0,0.0,0.0,1095.28
pair_161,Set C,gen_041,0.0,0.0,0.0,0.0,0,490.2,498.2,-1.0,8.75,1,0.7754,999.0,999.0,999.0,1623.48
pair_162,Set C,gen_042,0.0,0.0,0.0,0.0,0,490.2,498.2,-1.0,8.75,1,0.7754,999.0,999.0,999.0,1507.6
pair_163,Set C,gen_043,0.0,0.0,0.0,0.0,0,447.7,531.4000244140625,1.0,10.75,1,0.6019,999.0,999.0,999.0,1278.58
pair_164,Set C,gen_044,0.0,0.0,0.0,0.0,0,447.7,531.4000244140625,1.0,10.75,1,0.6019,999.0,999.0,999.0,1197.54
pair_165,Set C,gen_045,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1117,0.0,0.0,0.0,1153.28
pair_166,Set C,gen_046,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1117,0.0,0.0,0.0,1025.98
pair_167,Set C,gen_047,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.157,0.0,0.0,0.0,1362.58
pair_168,Set C,gen_048,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.157,0.0,0.0,0.0,1268.42
pair_169,Set C,gen_049,0.0,0.0,0.0,0.0,0,505.8800048828125,507.3900146484375,1.5,9.75,1,0.8913,999.0,999.0,999.0,1606.65
pair_170,Set C,gen_050,0.0,0.0,0.0,0.0,0,505.8800048828125,507.3900146484375,1.5,9.75,1,0.8913,999.0,999.0,999.0,1581.38
pair_171,Set C,gen_051,0.0,0.0,0.0,0.0,0,129.8,792.2,1.0,8.75,1,0.5267,999.0,999.0,999.0,1610.28
pair_172,Set C,gen_052,0.0,0.0,0.0,0.0,0,507.3,506.3,-1.5,11.0,1,0.6755,999.0,999.0,999.0,1302.84
pair_173,Set C,gen_053,0.0,0.0,0.0,0.0,0,482.7,549.7,-1.5,10.75,1,0.7571,999.0,999.0,999.0,1289.98
pair_174,Set C,gen_054,0.0,0.0,0.0,0.0,0,480.7,552.3900146484375,-1.0,11.25,1,0.7359,999.0,999.0,999.0,1378.56
pair_175,Set C,gen_055,0.0,0.0,0.0,0.0,0,484.1300048828125,236.7,5.0,10.75,1,0.579,999.0,999.0,999.0,1131.08
pair_176,Set C,gen_056,0.0,0.0,0.0,0.0,0,484.1300048828125,236.7,5.0,10.75,1,0.579,999.0,999.0,999.0,1152.13
pair_177,Set C,gen_057,0.0,0.0,0.0,0.0,0,432.8,528.8699951171875,0.0,9.25,1,0.7957,999.0,999.0,999.0,1382.67
pair_178,Set C,gen_058,0.0,0.0,0.0,0.0,0,57.7,957.7,-5.0,12.0,1,0.6542,999.0,999.0,999.0,1173.54
pair_179,Set C,gen_059,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4068,0.0,0.0,0.0,1271.06
pair_180,Set C,gen_060,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4068,0.0,0.0,0.0,1351.13
pair_181,Set D,gen_001,669.0,376.0,-2.082,9.44,1,668.2,376.8,-2.5,9.25,1,0.9976,1.13,0.19,0.42,1839.15
pair_182,Set D,gen_002,614.0,361.0,4.834,8.666,1,613.2,361.8,5.0,8.75,1,0.9969,1.13,0.08,0.17,1694.59
pair_183,Set D,gen_003,521.0,511.0,2.521,9.506,1,519.75,509.7,2.5,9.75,1,0.9888,1.8,0.24,0.02,1780.96
pair_184,Set D,gen_004,382.0,646.0,-1.021,10.703,1,732.22998046875,646.77001953125,0.0,10.0,1,0.9979,350.23,0.7,1.02,1468.59
pair_185,Set D,gen_005,470.0,520.0,-4.296,9.43,1,570.8,720.8,0.0,10.0,1,0.9987,224.68,0.57,4.3,1782.34
