pair_id,present,x,y,theta,scale
p165,0,0.0,0.0,0.0,0.0
p166,0,0.0,0.0,0.0,0.0
p167,0,0.0,0.0,0.0,0.0
p168,0,0.0,0.0,0.0,0.0
p169,0,0.0,0.0,0.0,0.0
p170,0,0.0,0.0,0.0,0.0
p171,0,0.0,0.0,0.0,0.0
p172,0,0.0,0.0,0.0,0.0
p173,0,0.0,0.0,0.0,0.0
p174,0,0.0,0.0,0.0,0.0
p175,0,0.0,0.0,0.0,0.0
p176,0,0.0,0.0,0.0,0.0
p177,0,0.0,0.0,0.0,0.0
p178,0,0.0,0.0,0.0,0.0
p179,0,0.0,0.0,0.0,0.0
p180,0,0.0,0.0,0.0,0.0
p181,1,501.974,896.018,-2.34,10.43
p182,1,908.9,909.99,4.09,9.0
p183,1,873.067,853.395,4.34,9.76
p184,1,281.222,277.787,1.0,8.63
p185,1,726.755,245.535,2.93,10.64
p186,1,207.413,468.431,-1.78,11.53
p187,1,89.129,909.944,-4.64,8.49
p188,1,604.537,606.213,4.76,8.78
p189,1,231.885,909.995,-3.63,8.75
p190,1,278.406,834.885,0.62,9.93
p191,1,237.053,727.661,1.35,11.61
p192,1,749.873,451.642,1.71,11.28
p193,1,523.665,688.85,4.05,10.36
p194,1,655.789,93.356,-3.57,8.41
p195,1,656.165,685.822,0.74,8.06
p196,1,358.888,268.133,-4.78,8.51
p197,1,245.529,818.028,4.59,9.89
p198,1,807.539,540.096,-1.55,10.75
p199,1,718.483,661.814,1.53,8.03
p200,1,909.829,302.634,-3.43,8.78
